
Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns)
1, 0, 2023181, 2023181, 0
2, 0, 1094953, 1559067, 0
3, 0, 1585036, 1567723, 0
4, 0, 1582628, 1571449, 0
5, 0, 1720217, 1601202, 0
6, 0, 1630205, 1606035, 0
7, 0, 1533735, 1595707, 0
8, 0, 1569191, 1592393, 0
9, 0, 1668031, 1600797, 0
10, 0, 1898066, 1630523, 1898066
11, 0, 986816, 1572005, 1898066
12, 0, 998626, 1524224, 1898066
13, 0, 1072571, 1489482, 1898066
14, 0, 1056777, 1458575, 1898066
15, 0, 1048795, 1431257, 1898066
16, 0, 1045137, 1407125, 1898066
17, 0, 1035071, 1385240, 1898066
18, 0, 1043236, 1366240, 1898066
19, 0, 1052337, 1349719, 1898066
20, 0, 1047585, 1334613, 1898066
21, 0, 1037781, 1320479, 1898066
22, 0, 1039330, 1307700, 1898066
23, 0, 1053952, 1296668, 1898066
24, 0, 1051022, 1286433, 1898066
25, 0, 1062884, 1277492, 1898066
26, 0, 1069121, 1269478, 1898066
27, 0, 1062963, 1261830, 1898066
28, 0, 1041387, 1253958, 1898066
29, 0, 1038041, 1246513, 1898066
30, 0, 1048705, 1239920, 1898066
31, 0, 1045046, 1233634, 1898066
32, 0, 1035866, 1227454, 1898066
33, 0, 1041999, 1221835, 1898066
34, 0, 1039539, 1216474, 1898066
35, 0, 1035255, 1211297, 1898066
36, 0, 1038732, 1206504, 1898066
37, 0, 1048146, 1202225, 1898066
38, 0, 1041623, 1197999, 1898066
39, 0, 1043432, 1194036, 1898066
40, 0, 1047899, 1190383, 1898066
41, 0, 1046115, 1186865, 1898066
42, 0, 1047144, 1183539, 1898066
43, 0, 1048693, 1180404, 1898066
44, 0, 1065035, 1177782, 1898066
45, 0, 1036688, 1174647, 1898066
46, 0, 1034852, 1171608, 1898066
47, 0, 1046141, 1168939, 1898066
48, 0, 1049306, 1166447, 1898066
49, 0, 1034188, 1163748, 1898066
