Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns)
0, 1, 0, 327447, 327447, 0
0, 2, 0, 345967, 336707, 0
0, 3, 0, 301322, 324912, 0
0, 4, 0, 305263, 320000, 0
0, 5, 0, 302557, 316512, 0
0, 6, 0, 328258, 318469, 0
0, 7, 0, 322966, 319111, 0
0, 8, 0, 335362, 321142, 0
0, 9, 0, 323531, 321407, 0
0, 10, 0, 327518, 322018, 327518
0, 11, 0, 320083, 321843, 327518
0, 12, 0, 323243, 321959, 327518
0, 13, 0, 323008, 322039, 327518
0, 14, 0, 188258, 312484, 327518
0, 15, 0, 373748, 316568, 373748
0, 16, 0, 307716, 316015, 373748
0, 17, 0, 304012, 315309, 373748
0, 18, 0, 293138, 314078, 373748
0, 19, 0, 337989, 315336, 373748
0, 20, 0, 300048, 314572, 373748
0, 21, 0, 278957, 312877, 373748
0, 22, 0, 299928, 312289, 373748
0, 23, 0, 305113, 311977, 373748
0, 24, 0, 223597, 308295, 373748
0, 25, 0, 324804, 308955, 373748
0, 26, 0, 321681, 309444, 373748
0, 27, 0, 326350, 310070, 373748
0, 28, 0, 344055, 311283, 373748
0, 29, 0, 323246, 311695, 373748
0, 30, 0, 323575, 312091, 373748
0, 31, 0, 324663, 312496, 373748
0, 32, 0, 317967, 312666, 373748
0, 33, 0, 315077, 312739, 373748
0, 34, 0, 307677, 312591, 373748
0, 35, 0, 317788, 312739, 373748
0, 36, 0, 272303, 311616, 373748
0, 37, 0, 172750, 307863, 373748
0, 38, 0, 326484, 308353, 373748
0, 39, 0, 306878, 308316, 373748
0, 40, 0, 311171, 308387, 373748
0, 41, 0, 224608, 306344, 373748
0, 42, 0, 301597, 306231, 373748
0, 43, 0, 306731, 306242, 373748
0, 44, 0, 288286, 305834, 373748
0, 45, 0, 301883, 305747, 373748
0, 46, 0, 305349, 305739, 373748
0, 47, 0, 311505, 305861, 373748
0, 48, 0, 301529, 305771, 373748
0, 49, 0, 307842, 305813, 373748
0, 50, 0, 304397, 305785, 373748
0, 51, 0, 307139, 305811, 373748
0, 52, 0, 332644, 306327, 373748
0, 53, 0, 324200, 306664, 373748
0, 54, 0, 303805, 306612, 373748
0, 55, 0, 318028, 306819, 373748
0, 56, 0, 315783, 306979, 373748
0, 57, 0, 308817, 307011, 373748
0, 58, 0, 337045, 307528, 373748
0, 59, 0, 320675, 307750, 373748
0, 60, 0, 163488, 305346, 373748
0, 61, 0, 205972, 303717, 373748
0, 62, 0, 309096, 303803, 373748
0, 63, 0, 313386, 303955, 373748
0, 64, 0, 178333, 301993, 373748
0, 65, 0, 300553, 301971, 373748
0, 66, 0, 306317, 302036, 373748
0, 67, 0, 332547, 302491, 373748
0, 68, 0, 306755, 302553, 373748
0, 69, 0, 199898, 301066, 373748
0, 70, 0, 370062, 302051, 373748
0, 71, 0, 316655, 302256, 373748
0, 72, 0, 301288, 302243, 373748
0, 73, 0, 322842, 302525, 373748
0, 74, 0, 327235, 302858, 373748
0, 75, 0, 304273, 302876, 373748
0, 76, 0, 336810, 303322, 373748
0, 77, 0, 321947, 303563, 373748
0, 78, 0, 319514, 303767, 373748
0, 79, 0, 317852, 303945, 373748
0, 80, 0, 308322, 303999, 373748
0, 81, 0, 315491, 304140, 373748
0, 82, 0, 274463, 303779, 373748
0, 83, 0, 163126, 302085, 373748
0, 84, 0, 332043, 302441, 373748
0, 85, 0, 306196, 302485, 373748
0, 86, 0, 298256, 302436, 373748
0, 87, 0, 330418, 302757, 373748
0, 88, 0, 292406, 302640, 373748
0, 89, 0, 293799, 302541, 373748
0, 90, 0, 300734, 302521, 373748
0, 91, 0, 323621, 302752, 373748
0, 92, 0, 299824, 302721, 373748
0, 93, 0, 301022, 302703, 373748
0, 94, 0, 313277, 302815, 373748
0, 95, 0, 300184, 302788, 373748
0, 96, 0, 308730, 302849, 373748
0, 97, 0, 309700, 302919, 373748
0, 98, 0, 301054, 302900, 373748
0, 99, 0, 196965, 301830, 373748
