Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns)
0, 1, 0, 527542, 527542, 0
0, 2, 0, 394380, 460961, 0
0, 3, 0, 421557, 447827, 0
0, 4, 0, 436728, 445053, 0
0, 5, 0, 377945, 431632, 0
0, 6, 0, 429800, 431327, 0
0, 7, 0, 442958, 432988, 0
0, 8, 0, 381493, 426552, 0
0, 9, 0, 421224, 425960, 0
0, 10, 0, 416962, 425061, 416962
0, 11, 0, 372240, 420260, 416962
0, 12, 0, 380893, 416980, 416962
0, 13, 0, 365901, 413051, 416962
0, 14, 0, 373649, 410237, 416962
0, 15, 0, 402105, 409695, 416962
0, 16, 0, 365872, 406957, 416962
0, 17, 0, 373084, 404965, 416962
0, 18, 0, 416932, 405629, 416962
0, 19, 0, 364595, 403470, 416962
0, 20, 0, 388263, 402710, 416962
0, 21, 0, 424376, 403741, 424376
0, 22, 0, 367457, 402092, 424376
0, 23, 0, 384265, 401317, 424376
0, 24, 0, 418168, 402019, 424376
0, 25, 0, 379734, 401128, 424376
0, 26, 0, 404079, 401241, 424376
0, 27, 0, 394949, 401008, 424376
0, 28, 0, 359571, 399529, 424376
0, 29, 0, 368512, 398460, 424376
0, 30, 0, 422295, 399254, 424376
0, 31, 0, 380322, 398644, 424376
0, 32, 0, 383772, 398180, 424376
0, 33, 0, 422522, 398917, 424376
0, 34, 0, 391621, 398703, 424376
0, 35, 0, 386379, 398351, 424376
0, 36, 0, 438551, 399467, 438551
0, 37, 0, 398441, 399440, 438551
0, 38, 0, 409686, 399709, 438551
0, 39, 0, 423056, 400307, 438551
0, 40, 0, 385477, 399937, 438551
0, 41, 0, 407971, 400132, 438551
0, 42, 0, 422651, 400668, 438551
0, 43, 0, 387324, 400358, 438551
0, 44, 0, 397008, 400282, 438551
0, 45, 0, 384309, 399928, 438551
0, 46, 0, 375992, 399408, 438551
0, 47, 0, 387791, 399161, 438551
0, 48, 0, 420996, 399615, 438551
0, 49, 0, 376738, 399149, 438551
0, 50, 0, 391276, 398992, 438551
0, 51, 0, 370340, 398431, 438551
0, 52, 0, 382919, 398133, 438551
0, 53, 0, 396168, 398096, 438551
0, 54, 0, 414138, 398393, 438551
0, 55, 0, 373971, 397949, 438551
0, 56, 0, 373184, 397507, 438551
0, 57, 0, 416623, 397842, 438551
0, 58, 0, 373899, 397430, 438551
0, 59, 0, 401357, 397496, 438551
0, 60, 0, 394493, 397446, 438551
0, 61, 0, 389361, 397314, 438551
0, 62, 0, 406374, 397460, 438551
0, 63, 0, 417679, 397780, 438551
0, 64, 0, 367890, 397313, 438551
0, 65, 0, 392170, 397234, 438551
0, 66, 0, 440142, 397884, 440142
0, 67, 0, 395396, 397847, 440142
0, 68, 0, 405045, 397952, 440142
0, 69, 0, 381895, 397720, 440142
0, 70, 0, 375202, 397399, 440142
0, 71, 0, 395456, 397372, 440142
0, 72, 0, 414583, 397611, 440142
0, 73, 0, 373405, 397280, 440142
0, 74, 0, 385508, 397121, 440142
0, 75, 0, 416481, 397379, 440142
0, 76, 0, 373275, 397062, 440142
0, 77, 0, 365200, 396649, 440142
0, 78, 0, 375361, 396377, 440142
0, 79, 0, 368143, 396020, 440142
0, 80, 0, 392334, 395974, 440142
0, 81, 0, 414725, 396205, 440142
0, 82, 0, 383429, 396050, 440142
0, 83, 0, 375920, 395808, 440142
0, 84, 0, 429878, 396213, 440142
0, 85, 0, 399092, 396246, 440142
0, 86, 0, 398042, 396266, 440142
0, 87, 0, 413876, 396468, 440142
0, 88, 0, 380094, 396282, 440142
0, 89, 0, 384568, 396151, 440142
0, 90, 0, 429603, 396522, 440142
0, 91, 0, 375411, 396291, 440142
0, 92, 0, 402550, 396359, 440142
0, 93, 0, 405741, 396459, 440142
0, 94, 0, 373047, 396210, 440142
0, 95, 0, 381884, 396060, 440142
0, 96, 0, 426654, 396378, 440142
0, 97, 0, 390579, 396319, 440142
0, 98, 0, 399612, 396352, 440142
0, 99, 0, 380550, 396193, 440142
