Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns)
0, 1, 0, 533183, 533183, 0
0, 2, 0, 404499, 468841, 0
0, 3, 0, 427833, 455172, 0
0, 4, 0, 477693, 460802, 0
0, 5, 0, 392649, 447172, 0
0, 6, 0, 389783, 437608, 0
0, 7, 0, 387895, 430507, 0
0, 8, 0, 377586, 423892, 0
0, 9, 0, 384183, 419480, 0
0, 10, 0, 390376, 416570, 390376
0, 11, 0, 399253, 414996, 399253
0, 12, 0, 441559, 417209, 441559
0, 13, 0, 400161, 415898, 441559
0, 14, 0, 387627, 413879, 441559
0, 15, 0, 403173, 413166, 441559
0, 16, 0, 520196, 419855, 520196
0, 17, 0, 385543, 417837, 520196
0, 18, 0, 400517, 416875, 520196
0, 19, 0, 395993, 415776, 520196
0, 20, 0, 386046, 414290, 520196
0, 21, 0, 429067, 414993, 520196
0, 22, 0, 462626, 417158, 520196
0, 23, 0, 380325, 415557, 520196
0, 24, 0, 404223, 415085, 520196
0, 25, 0, 431984, 415760, 520196
0, 26, 0, 388312, 414705, 520196
0, 27, 0, 409245, 414503, 520196
0, 28, 0, 391723, 413690, 520196
0, 29, 0, 375296, 412367, 520196
0, 30, 0, 399026, 411923, 520196
0, 31, 0, 480381, 414131, 520196
0, 32, 0, 383740, 413182, 520196
0, 33, 0, 422742, 413471, 520196
0, 34, 0, 487533, 415649, 520196
0, 35, 0, 400299, 415211, 520196
0, 36, 0, 397098, 414708, 520196
0, 37, 0, 481641, 416517, 520196
0, 38, 0, 390549, 415834, 520196
0, 39, 0, 390302, 415180, 520196
0, 40, 0, 486577, 416964, 520196
0, 41, 0, 387134, 416237, 520196
0, 42, 0, 431992, 416612, 520196
0, 43, 0, 369412, 415515, 520196
0, 44, 0, 388960, 414912, 520196
0, 45, 0, 423682, 415106, 520196
0, 46, 0, 491922, 416775, 520196
0, 47, 0, 399240, 416402, 520196
0, 48, 0, 421351, 416505, 520196
0, 49, 0, 494340, 418093, 520196
0, 50, 0, 388660, 417505, 520196
0, 51, 0, 397004, 417104, 520196
0, 52, 0, 412310, 417012, 520196
0, 53, 0, 391629, 416534, 520196
0, 54, 0, 424292, 416677, 520196
0, 55, 0, 427408, 416872, 520196
0, 56, 0, 393378, 416453, 520196
0, 57, 0, 400754, 416178, 520196
0, 58, 0, 480289, 417283, 520196
0, 59, 0, 411217, 417181, 520196
0, 60, 0, 404187, 416965, 520196
0, 61, 0, 471832, 417864, 520196
0, 62, 0, 376947, 417205, 520196
0, 63, 0, 470785, 418055, 520196
0, 64, 0, 481389, 419044, 520196
0, 65, 0, 399582, 418745, 520196
0, 66, 0, 398110, 418433, 520196
0, 67, 0, 391233, 418028, 520196
0, 68, 0, 382208, 417502, 520196
0, 69, 0, 389592, 417098, 520196
0, 70, 0, 484937, 418067, 520196
0, 71, 0, 391703, 417696, 520196
0, 72, 0, 473927, 418476, 520196
0, 73, 0, 384047, 418005, 520196
0, 74, 0, 379922, 417491, 520196
0, 75, 0, 390360, 417130, 520196
0, 76, 0, 485922, 418035, 520196
0, 77, 0, 387417, 417638, 520196
0, 78, 0, 399243, 417403, 520196
0, 79, 0, 479563, 418189, 520196
0, 80, 0, 377764, 417684, 520196
0, 81, 0, 387785, 417315, 520196
0, 82, 0, 384420, 416914, 520196
0, 83, 0, 372316, 416377, 520196
0, 84, 0, 383903, 415991, 520196
0, 85, 0, 473332, 416665, 520196
0, 86, 0, 377201, 416207, 520196
0, 87, 0, 389441, 415900, 520196
0, 88, 0, 395556, 415669, 520196
0, 89, 0, 373678, 415198, 520196
0, 90, 0, 474252, 415854, 520196
0, 91, 0, 474144, 416494, 520196
0, 92, 0, 376771, 416063, 520196
0, 93, 0, 382870, 415707, 520196
0, 94, 0, 417055, 415721, 520196
0, 95, 0, 376615, 415310, 520196
0, 96, 0, 463372, 415810, 520196
0, 97, 0, 383459, 415477, 520196
0, 98, 0, 382324, 415139, 520196
0, 99, 0, 410202, 415090, 520196
