Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns)
0, 1, 0, 534532, 534532, 0
0, 2, 0, 391217, 462875, 0
0, 3, 0, 438585, 454779, 0
0, 4, 0, 418137, 445619, 0
0, 5, 0, 371240, 430744, 0
0, 6, 0, 425895, 429936, 0
0, 7, 0, 372789, 421773, 0
0, 8, 0, 378547, 416370, 0
0, 9, 0, 379585, 412283, 0
0, 10, 0, 471413, 418196, 471413
0, 11, 0, 371624, 413963, 471413
0, 12, 0, 421977, 414630, 471413
0, 13, 0, 471249, 418985, 471413
0, 14, 0, 372972, 415699, 471413
0, 15, 0, 384188, 413599, 471413
0, 16, 0, 476622, 417537, 476622
0, 17, 0, 387783, 415787, 476622
0, 18, 0, 371173, 413309, 476622
0, 19, 0, 464925, 416025, 476622
0, 20, 0, 367134, 413581, 476622
0, 21, 0, 413636, 413583, 476622
0, 22, 0, 476033, 416421, 476622
0, 23, 0, 378531, 414774, 476622
0, 24, 0, 412963, 414699, 476622
0, 25, 0, 415076, 414714, 476622
0, 26, 0, 378934, 413338, 476622
0, 27, 0, 393466, 412602, 476622
0, 28, 0, 411030, 412546, 476622
0, 29, 0, 370100, 411083, 476622
0, 30, 0, 377032, 409948, 476622
0, 31, 0, 483621, 412324, 483621
0, 32, 0, 406579, 412145, 483621
0, 33, 0, 403966, 411898, 483621
0, 34, 0, 473000, 413695, 483621
0, 35, 0, 372127, 412508, 483621
0, 36, 0, 468083, 414051, 483621
0, 37, 0, 417087, 414133, 483621
0, 38, 0, 392900, 413575, 483621
0, 39, 0, 396351, 413134, 483621
0, 40, 0, 431254, 413587, 483621
0, 41, 0, 389430, 412998, 483621
0, 42, 0, 416926, 413091, 483621
0, 43, 0, 441975, 413762, 483621
0, 44, 0, 391301, 413252, 483621
0, 45, 0, 382148, 412561, 483621
0, 46, 0, 457963, 413548, 483621
0, 47, 0, 394975, 413153, 483621
0, 48, 0, 434550, 413598, 483621
0, 49, 0, 445862, 414256, 483621
0, 50, 0, 395437, 413880, 483621
0, 51, 0, 379134, 413199, 483621
0, 52, 0, 436561, 413648, 483621
0, 53, 0, 411042, 413599, 483621
0, 54, 0, 410124, 413535, 483621
0, 55, 0, 439855, 414013, 483621
0, 56, 0, 382505, 413451, 483621
0, 57, 0, 445995, 414021, 483621
0, 58, 0, 461160, 414833, 483621
0, 59, 0, 383716, 414306, 483621
0, 60, 0, 427921, 414532, 483621
0, 61, 0, 434822, 414864, 483621
0, 62, 0, 380857, 414316, 483621
0, 63, 0, 435329, 414649, 483621
0, 64, 0, 396285, 414363, 483621
0, 65, 0, 401056, 414159, 483621
0, 66, 0, 406714, 414047, 483621
0, 67, 0, 444792, 414505, 483621
0, 68, 0, 386740, 414097, 483621
0, 69, 0, 430297, 414331, 483621
0, 70, 0, 454230, 414900, 483621
0, 71, 0, 413862, 414886, 483621
0, 72, 0, 421154, 414973, 483621
0, 73, 0, 459376, 415581, 483621
0, 74, 0, 379325, 415092, 483621
0, 75, 0, 404698, 414954, 483621
0, 76, 0, 391706, 414649, 483621
0, 77, 0, 378507, 414180, 483621
0, 78, 0, 413479, 414172, 483621
0, 79, 0, 451058, 414638, 483621
0, 80, 0, 402258, 414484, 483621
0, 81, 0, 382857, 414094, 483621
0, 82, 0, 440609, 414417, 483621
0, 83, 0, 379514, 413997, 483621
0, 84, 0, 421287, 414083, 483621
0, 85, 0, 437362, 414356, 483621
0, 86, 0, 381331, 413972, 483621
0, 87, 0, 417292, 414010, 483621
0, 88, 0, 450130, 414420, 483621
0, 89, 0, 412856, 414403, 483621
0, 90, 0, 427454, 414548, 483621
0, 91, 0, 450830, 414946, 483621
0, 92, 0, 395502, 414735, 483621
0, 93, 0, 388894, 414458, 483621
0, 94, 0, 437828, 414706, 483621
0, 95, 0, 401852, 414571, 483621
0, 96, 0, 404232, 414464, 483621
0, 97, 0, 445206, 414780, 483621
0, 98, 0, 389780, 414525, 483621
0, 99, 0, 424732, 414628, 483621
