Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns)
0, 1, 0, 485185, 485185, 0
0, 2, 0, 421187, 453186, 0
0, 3, 0, 432208, 446194, 0
0, 4, 0, 387500, 431521, 0
0, 5, 0, 385547, 422327, 0
0, 6, 0, 417269, 421484, 0
0, 7, 0, 399632, 418363, 0
0, 8, 0, 403168, 416464, 0
0, 9, 0, 423908, 417291, 0
0, 10, 0, 375510, 413113, 375510
0, 11, 0, 401472, 412055, 401472
0, 12, 0, 409379, 411832, 409379
0, 13, 0, 382567, 409581, 409379
0, 14, 0, 369408, 406712, 409379
0, 15, 0, 420376, 407622, 420376
0, 16, 0, 382755, 406068, 420376
0, 17, 0, 396667, 405515, 420376
0, 18, 0, 437235, 407277, 437235
0, 19, 0, 390641, 406402, 437235
0, 20, 0, 389818, 405573, 437235
0, 21, 0, 448868, 407634, 448868
0, 22, 0, 394842, 407053, 448868
0, 23, 0, 417153, 407492, 448868
0, 24, 0, 422843, 408131, 448868
0, 25, 0, 379038, 406968, 448868
0, 26, 0, 409168, 407052, 448868
0, 27, 0, 437853, 408192, 448868
0, 28, 0, 397649, 407816, 448868
0, 29, 0, 414603, 408050, 448868
0, 30, 0, 424939, 408612, 448868
0, 31, 0, 379475, 407673, 448868
0, 32, 0, 381600, 406859, 448868
0, 33, 0, 432520, 407636, 448868
0, 34, 0, 393831, 407230, 448868
0, 35, 0, 408277, 407259, 448868
0, 36, 0, 418050, 407558, 448868
0, 37, 0, 381010, 406841, 448868
0, 38, 0, 391984, 406451, 448868
0, 39, 0, 424054, 406902, 448868
0, 40, 0, 397881, 406677, 448868
0, 41, 0, 391518, 406308, 448868
0, 42, 0, 409881, 406393, 448868
0, 43, 0, 374616, 405654, 448868
0, 44, 0, 388832, 405272, 448868
0, 45, 0, 395843, 405063, 448868
0, 46, 0, 411550, 405204, 448868
0, 47, 0, 410153, 405309, 448868
0, 48, 0, 410129, 405409, 448868
0, 49, 0, 387890, 405052, 448868
0, 50, 0, 409505, 405141, 448868
0, 51, 0, 421157, 405455, 448868
0, 52, 0, 386428, 405090, 448868
0, 53, 0, 408593, 405156, 448868
0, 54, 0, 389665, 404870, 448868
0, 55, 0, 402962, 404836, 448868
0, 56, 0, 403329, 404810, 448868
0, 57, 0, 407910, 404864, 448868
0, 58, 0, 401297, 404803, 448868
0, 59, 0, 403924, 404789, 448868
0, 60, 0, 415830, 404973, 448868
0, 61, 0, 393067, 404778, 448868
0, 62, 0, 422544, 405064, 448868
0, 63, 0, 418659, 405279, 448868
0, 64, 0, 408367, 405327, 448868
0, 65, 0, 419721, 405548, 448868
0, 66, 0, 425190, 405845, 448868
0, 67, 0, 427118, 406162, 448868
0, 68, 0, 425743, 406449, 448868
0, 69, 0, 413909, 406557, 448868
0, 70, 0, 388947, 406306, 448868
0, 71, 0, 416687, 406452, 448868
0, 72, 0, 423222, 406684, 448868
0, 73, 0, 408735, 406712, 448868
0, 74, 0, 406469, 406709, 448868
0, 75, 0, 406385, 406705, 448868
0, 76, 0, 387937, 406459, 448868
0, 77, 0, 387313, 406211, 448868
0, 78, 0, 404282, 406187, 448868
0, 79, 0, 385765, 405929, 448868
0, 80, 0, 410416, 405985, 448868
0, 81, 0, 403357, 405953, 448868
0, 82, 0, 378097, 405614, 448868
0, 83, 0, 454377, 406201, 454377
0, 84, 0, 405304, 406191, 454377
0, 85, 0, 394141, 406050, 454377
0, 86, 0, 425149, 406272, 454377
0, 87, 0, 391824, 406106, 454377
0, 88, 0, 413425, 406189, 454377
0, 89, 0, 421975, 406366, 454377
0, 90, 0, 405491, 406357, 454377
0, 91, 0, 406517, 406358, 454377
0, 92, 0, 409400, 406391, 454377
0, 93, 0, 396900, 406289, 454377
0, 94, 0, 391189, 406129, 454377
0, 95, 0, 408422, 406153, 454377
0, 96, 0, 416120, 406256, 454377
0, 97, 0, 394363, 406134, 454377
0, 98, 0, 418268, 406257, 454377
0, 99, 0, 418787, 406383, 454377
