Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns)
0, 1, 0, 484630, 484630, 0
0, 2, 0, 389467, 437049, 0
0, 3, 0, 432072, 435390, 0
0, 4, 0, 407384, 428389, 0
0, 5, 0, 387827, 420277, 0
0, 6, 0, 400067, 416909, 0
0, 7, 0, 403204, 414952, 0
0, 8, 0, 378161, 410354, 0
0, 9, 0, 416797, 411069, 0
0, 10, 0, 411440, 411106, 411440
0, 11, 0, 386728, 408890, 411440
0, 12, 0, 389621, 407285, 411440
0, 13, 0, 406527, 407227, 411440
0, 14, 0, 372559, 404751, 411440
0, 15, 0, 406281, 404853, 411440
0, 16, 0, 409948, 405171, 411440
0, 17, 0, 391617, 404374, 411440
0, 18, 0, 389242, 403534, 411440
0, 19, 0, 399182, 403305, 411440
0, 20, 0, 373673, 401824, 411440
0, 21, 0, 397606, 401624, 411440
0, 22, 0, 410846, 402043, 411440
0, 23, 0, 394463, 401714, 411440
0, 24, 0, 404453, 401828, 411440
0, 25, 0, 389280, 401327, 411440
0, 26, 0, 381220, 400554, 411440
0, 27, 0, 388411, 400105, 411440
0, 28, 0, 396009, 399959, 411440
0, 29, 0, 379052, 399239, 411440
0, 30, 0, 384025, 398732, 411440
0, 31, 0, 410910, 399124, 411440
0, 32, 0, 392982, 398933, 411440
0, 33, 0, 400375, 398976, 411440
0, 34, 0, 419292, 399573, 419292
0, 35, 0, 375463, 398885, 419292
0, 36, 0, 403102, 399002, 419292
0, 37, 0, 408620, 399261, 419292
0, 38, 0, 399745, 399273, 419292
0, 39, 0, 407100, 399473, 419292
0, 40, 0, 410493, 399748, 419292
0, 41, 0, 378202, 399223, 419292
0, 42, 0, 397795, 399189, 419292
0, 43, 0, 413564, 399523, 419292
0, 44, 0, 383849, 399167, 419292
0, 45, 0, 420353, 399637, 420353
0, 46, 0, 404772, 399748, 420353
0, 47, 0, 389243, 399525, 420353
0, 48, 0, 388384, 399293, 420353
0, 49, 0, 441286, 400150, 441286
0, 50, 0, 382872, 399805, 441286
0, 51, 0, 413257, 400068, 441286
0, 52, 0, 410249, 400263, 441286
0, 53, 0, 386290, 400000, 441286
0, 54, 0, 395919, 399925, 441286
0, 55, 0, 417788, 400249, 441286
0, 56, 0, 396989, 400191, 441286
0, 57, 0, 416922, 400484, 441286
0, 58, 0, 408304, 400618, 441286
0, 59, 0, 392270, 400477, 441286
0, 60, 0, 396496, 400411, 441286
0, 61, 0, 426914, 400845, 441286
0, 62, 0, 399297, 400821, 441286
0, 63, 0, 403796, 400868, 441286
0, 64, 0, 418506, 401143, 441286
0, 65, 0, 390805, 400984, 441286
0, 66, 0, 415317, 401201, 441286
0, 67, 0, 421632, 401505, 441286
0, 68, 0, 403717, 401537, 441286
0, 69, 0, 400277, 401519, 441286
0, 70, 0, 404225, 401557, 441286
0, 71, 0, 376514, 401205, 441286
0, 72, 0, 388911, 401035, 441286
0, 73, 0, 423491, 401342, 441286
0, 74, 0, 397239, 401287, 441286
0, 75, 0, 414363, 401461, 441286
0, 76, 0, 406072, 401521, 441286
0, 77, 0, 382453, 401274, 441286
0, 78, 0, 407194, 401349, 441286
0, 79, 0, 426727, 401670, 441286
0, 80, 0, 403789, 401696, 441286
0, 81, 0, 407788, 401771, 441286
0, 82, 0, 408425, 401852, 441286
0, 83, 0, 385949, 401661, 441286
0, 84, 0, 389217, 401513, 441286
0, 85, 0, 412156, 401638, 441286
0, 86, 0, 409550, 401730, 441286
0, 87, 0, 415410, 401887, 441286
0, 88, 0, 406245, 401936, 441286
0, 89, 0, 388303, 401783, 441286
0, 90, 0, 393741, 401694, 441286
0, 91, 0, 414007, 401829, 441286
0, 92, 0, 391612, 401718, 441286
0, 93, 0, 415639, 401867, 441286
0, 94, 0, 405737, 401908, 441286
0, 95, 0, 379842, 401676, 441286
0, 96, 0, 404689, 401707, 441286
0, 97, 0, 426962, 401967, 441286
0, 98, 0, 406119, 402009, 441286
0, 99, 0, 403393, 402022, 441286
