Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns)
0, 1, 0, 502355, 502355, 0
0, 2, 0, 419121, 460738, 0
0, 3, 0, 417983, 446487, 0
0, 4, 0, 448530, 446997, 0
0, 5, 0, 396875, 436973, 0
0, 6, 0, 424485, 434892, 0
0, 7, 0, 487962, 442473, 0
0, 8, 0, 414537, 438981, 0
0, 9, 0, 392094, 433772, 0
0, 10, 0, 518621, 442256, 518621
0, 11, 0, 412717, 439571, 518621
0, 12, 0, 411352, 437220, 518621
0, 13, 0, 514425, 443158, 518621
0, 14, 0, 399900, 440069, 518621
0, 15, 0, 402415, 437559, 518621
0, 16, 0, 496367, 441234, 518621
0, 17, 0, 386958, 438042, 518621
0, 18, 0, 419851, 437032, 518621
0, 19, 0, 421366, 436208, 518621
0, 20, 0, 391562, 433976, 518621
0, 21, 0, 417774, 433205, 518621
0, 22, 0, 519844, 437143, 519844
0, 23, 0, 403751, 435692, 519844
0, 24, 0, 412019, 434706, 519844
0, 25, 0, 506141, 437563, 519844
0, 26, 0, 397927, 436039, 519844
0, 27, 0, 421841, 435514, 519844
0, 28, 0, 493257, 437576, 519844
0, 29, 0, 391868, 436000, 519844
0, 30, 0, 395323, 434645, 519844
0, 31, 0, 497911, 436685, 519844
0, 32, 0, 402121, 435605, 519844
0, 33, 0, 417677, 435062, 519844
0, 34, 0, 482877, 436468, 519844
0, 35, 0, 405213, 435575, 519844
0, 36, 0, 396159, 434481, 519844
0, 37, 0, 487552, 435915, 519844
0, 38, 0, 391140, 434737, 519844
0, 39, 0, 400829, 433868, 519844
0, 40, 0, 482550, 435085, 519844
0, 41, 0, 386818, 433908, 519844
0, 42, 0, 408587, 433306, 519844
0, 43, 0, 485752, 434525, 519844
0, 44, 0, 390443, 433524, 519844
0, 45, 0, 402598, 432837, 519844
0, 46, 0, 457161, 433365, 519844
0, 47, 0, 382082, 432274, 519844
0, 48, 0, 414510, 431904, 519844
0, 49, 0, 476655, 432817, 519844
0, 50, 0, 377119, 431704, 519844
0, 51, 0, 406407, 431208, 519844
0, 52, 0, 488980, 432319, 519844
0, 53, 0, 384718, 431421, 519844
0, 54, 0, 403837, 430911, 519844
0, 55, 0, 438659, 431051, 519844
0, 56, 0, 405597, 430597, 519844
0, 57, 0, 466383, 431224, 519844
0, 58, 0, 414259, 430932, 519844
0, 59, 0, 412155, 430614, 519844
0, 60, 0, 420091, 430439, 519844
0, 61, 0, 503258, 431632, 519844
0, 62, 0, 398459, 431097, 519844
0, 63, 0, 424330, 430990, 519844
0, 64, 0, 509372, 432214, 519844
0, 65, 0, 396748, 431669, 519844
0, 66, 0, 427038, 431599, 519844
0, 67, 0, 434015, 431635, 519844
0, 68, 0, 422764, 431505, 519844
0, 69, 0, 436174, 431572, 519844
0, 70, 0, 424262, 431468, 519844
0, 71, 0, 384290, 430804, 519844
0, 72, 0, 398634, 430358, 519844
0, 73, 0, 480203, 431040, 519844
0, 74, 0, 400824, 430632, 519844
0, 75, 0, 421013, 430504, 519844
0, 76, 0, 435321, 430567, 519844
0, 77, 0, 390469, 430047, 519844
0, 78, 0, 401224, 429678, 519844
0, 79, 0, 417426, 429523, 519844
0, 80, 0, 376897, 428866, 519844
0, 81, 0, 406989, 428596, 519844
0, 82, 0, 483112, 429260, 519844
0, 83, 0, 389014, 428776, 519844
0, 84, 0, 408342, 428533, 519844
0, 85, 0, 494808, 429312, 519844
0, 86, 0, 406831, 429051, 519844
0, 87, 0, 407143, 428800, 519844
0, 88, 0, 441023, 428938, 519844
0, 89, 0, 404406, 428663, 519844
0, 90, 0, 418915, 428555, 519844
0, 91, 0, 493627, 429270, 519844
0, 92, 0, 411674, 429079, 519844
0, 93, 0, 439794, 429194, 519844
0, 94, 0, 491809, 429860, 519844
0, 95, 0, 404959, 429598, 519844
0, 96, 0, 434513, 429649, 519844
0, 97, 0, 402497, 429370, 519844
0, 98, 0, 407254, 429145, 519844
0, 99, 0, 448382, 429339, 519844
