Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns)
0, 1, 0, 562217, 562217, 0
0, 2, 0, 527508, 544863, 0
0, 3, 0, 513000, 534242, 0
0, 4, 0, 472806, 518883, 0
0, 5, 0, 527082, 520522, 0
0, 6, 0, 482924, 514256, 0
0, 7, 0, 480633, 509453, 0
0, 8, 0, 508195, 509296, 0
0, 9, 0, 488488, 506984, 0
0, 10, 0, 477197, 504006, 477197
0, 11, 0, 509790, 504531, 509790
0, 12, 0, 474511, 502030, 509790
0, 13, 0, 481505, 500452, 509790
0, 14, 0, 480680, 499040, 509790
0, 15, 0, 539445, 501733, 539445
0, 16, 0, 471057, 499816, 539445
0, 17, 0, 515562, 500742, 539445
0, 18, 0, 524563, 502065, 539445
0, 19, 0, 484775, 501155, 539445
0, 20, 0, 499149, 501055, 539445
0, 21, 0, 519391, 501928, 539445
0, 22, 0, 473623, 500642, 539445
0, 23, 0, 506753, 500907, 539445
0, 24, 0, 523957, 501867, 539445
0, 25, 0, 479898, 500989, 539445
0, 26, 0, 505516, 501163, 539445
0, 27, 0, 525687, 502071, 539445
0, 28, 0, 471236, 500970, 539445
0, 29, 0, 513774, 501411, 539445
0, 30, 0, 535336, 502541, 539445
0, 31, 0, 467032, 501396, 539445
0, 32, 0, 526258, 502172, 539445
0, 33, 0, 529408, 502997, 539445
0, 34, 0, 465341, 501890, 539445
0, 35, 0, 517481, 502335, 539445
0, 36, 0, 523844, 502932, 539445
0, 37, 0, 470694, 502061, 539445
0, 38, 0, 521139, 502563, 539445
0, 39, 0, 538311, 503479, 539445
0, 40, 0, 470203, 502648, 539445
0, 41, 0, 500600, 502599, 539445
0, 42, 0, 518421, 502975, 539445
0, 43, 0, 454611, 501851, 539445
0, 44, 0, 525747, 502394, 539445
0, 45, 0, 475632, 501800, 539445
0, 46, 0, 484987, 501435, 539445
0, 47, 0, 507711, 501568, 539445
0, 48, 0, 477833, 501074, 539445
0, 49, 0, 449511, 500022, 539445
0, 50, 0, 502631, 500074, 539445
0, 51, 0, 461962, 499327, 539445
0, 52, 0, 480227, 498960, 539445
0, 52, 1, 1147987004, 498960, 539445
0, 52, 1, 1147956488, 498960, 539445
0, 52, 1, 1147945861, 498960, 539445
0, 53, 0, 502740, 499031, 539445
0, 54, 0, 458565, 498282, 539445
0, 55, 0, 467626, 497725, 539445
0, 56, 0, 501423, 497791, 539445
0, 57, 0, 488522, 497629, 539445
0, 58, 0, 509723, 497837, 539445
0, 59, 0, 503058, 497925, 539445
0, 60, 0, 537136, 498578, 539445
0, 61, 0, 479573, 498267, 539445
0, 62, 0, 517617, 498579, 539445
0, 63, 0, 540616, 499246, 540616
0, 64, 0, 510510, 499422, 540616
0, 65, 0, 556995, 500307, 556995
0, 66, 0, 538861, 500891, 556995
0, 67, 0, 469416, 500422, 556995
0, 68, 0, 522561, 500747, 556995
0, 69, 0, 484105, 500506, 556995
0, 70, 0, 493018, 500400, 556995
0, 71, 0, 484114, 500171, 556995
0, 72, 0, 544319, 500784, 556995
0, 73, 0, 503432, 500820, 556995
0, 74, 0, 535823, 501293, 556995
0, 75, 0, 552035, 501969, 556995
0, 76, 0, 494507, 501871, 556995
0, 77, 0, 515674, 502050, 556995
0, 78, 0, 479403, 501760, 556995
0, 79, 0, 473105, 501398, 556995
0, 80, 0, 538188, 501857, 556995
0, 81, 0, 539452, 502321, 556995
0, 82, 0, 467387, 501895, 556995
0, 83, 0, 466522, 501469, 556995
0, 84, 0, 519050, 501678, 556995
0, 85, 0, 470109, 501307, 556995
0, 86, 0, 501378, 501307, 556995
0, 87, 0, 533061, 501671, 556995
0, 88, 0, 479922, 501424, 556995
0, 89, 0, 486136, 501253, 556995
0, 90, 0, 539651, 501679, 556995
0, 91, 0, 485829, 501505, 556995
0, 92, 0, 517497, 501678, 556995
0, 93, 0, 488404, 501536, 556995
0, 94, 0, 465638, 501155, 556995
0, 95, 0, 519289, 501345, 556995
0, 96, 0, 533356, 501678, 556995
