Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns)
0, 1, 0, 297574, 297574, 0
0, 2, 0, 239211, 268393, 0
0, 3, 0, 227436, 254741, 0
0, 4, 0, 265255, 257369, 0
0, 5, 0, 203401, 246576, 0
0, 6, 0, 209604, 240414, 0
0, 7, 0, 274410, 245270, 0
0, 8, 0, 224379, 242659, 0
0, 9, 0, 235425, 241856, 0
0, 10, 0, 220776, 239748, 220776
0, 11, 0, 196801, 235844, 220776
0, 12, 0, 286691, 240081, 286691
0, 13, 0, 245961, 240533, 286691
0, 14, 0, 213936, 238634, 286691
0, 15, 0, 231484, 238158, 286691
0, 16, 0, 185841, 234889, 286691
0, 17, 0, 196954, 232658, 286691
0, 18, 0, 207709, 231272, 286691
0, 19, 0, 249437, 232228, 286691
0, 20, 0, 205812, 230908, 286691
0, 21, 0, 234079, 231059, 286691
0, 22, 0, 255650, 232176, 286691
0, 23, 0, 195405, 230578, 286691
0, 24, 0, 200950, 229344, 286691
0, 25, 0, 246986, 230049, 286691
0, 26, 0, 194065, 228665, 286691
0, 27, 0, 305861, 231524, 305861
0, 28, 0, 258332, 232481, 305861
0, 29, 0, 198615, 231314, 305861
0, 30, 0, 293367, 233382, 305861
0, 31, 0, 250686, 233940, 305861
0, 32, 0, 193462, 232676, 305861
0, 33, 0, 290207, 234419, 305861
0, 34, 0, 249228, 234854, 305861
0, 35, 0, 198765, 233823, 305861
0, 36, 0, 282486, 235174, 305861
0, 37, 0, 250313, 235583, 305861
0, 38, 0, 298440, 237237, 305861
0, 39, 0, 284370, 238445, 305861
0, 40, 0, 244682, 238600, 305861
0, 41, 0, 212929, 237974, 305861
0, 42, 0, 207682, 237253, 305861
0, 43, 0, 253609, 237633, 305861
0, 44, 0, 235355, 237582, 305861
0, 45, 0, 255646, 237983, 305861
0, 46, 0, 258424, 238427, 305861
0, 47, 0, 234211, 238338, 305861
0, 48, 0, 255387, 238693, 305861
0, 49, 0, 261900, 239166, 305861
0, 50, 0, 236488, 239113, 305861
0, 51, 0, 296546, 240239, 305861
0, 52, 0, 204892, 239560, 305861
0, 53, 0, 197418, 238765, 305861
0, 54, 0, 294173, 239791, 305861
0, 55, 0, 205224, 239163, 305861
0, 56, 0, 239505, 239169, 305861
0, 57, 0, 254746, 239442, 305861
0, 58, 0, 270740, 239981, 305861
0, 59, 0, 222753, 239689, 305861
0, 60, 0, 216342, 239300, 305861
0, 61, 0, 297621, 240256, 305861
0, 62, 0, 207215, 239724, 305861
0, 63, 0, 316828, 240947, 316828
0, 64, 0, 260929, 241259, 316828
0, 65, 0, 244759, 241312, 316828
0, 66, 0, 210840, 240851, 316828
0, 67, 0, 270619, 241295, 316828
0, 68, 0, 234361, 241194, 316828
0, 69, 0, 307733, 242158, 316828
0, 70, 0, 263309, 242460, 316828
0, 71, 0, 192711, 241760, 316828
0, 72, 0, 283321, 242337, 316828
0, 73, 0, 250741, 242452, 316828
0, 74, 0, 192864, 241782, 316828
0, 75, 0, 285364, 242363, 316828
0, 76, 0, 259728, 242591, 316828
0, 77, 0, 223690, 242346, 316828
0, 78, 0, 194025, 241727, 316828
0, 79, 0, 258263, 241936, 316828
0, 80, 0, 194902, 241349, 316828
0, 81, 0, 314515, 242252, 316828
0, 82, 0, 249423, 242339, 316828
0, 83, 0, 208766, 241935, 316828
0, 84, 0, 275887, 242339, 316828
0, 85, 0, 257536, 242517, 316828
0, 86, 0, 240277, 242491, 316828
0, 87, 0, 288178, 243016, 316828
0, 88, 0, 252714, 243126, 316828
0, 89, 0, 196990, 242608, 316828
0, 90, 0, 297420, 243217, 316828
0, 91, 0, 201388, 242758, 316828
0, 92, 0, 224107, 242556, 316828
0, 93, 0, 200760, 242107, 316828
0, 94, 0, 260000, 242297, 316828
0, 95, 0, 193301, 241782, 316828
0, 96, 0, 301232, 242401, 316828
0, 97, 0, 264288, 242626, 316828
0, 98, 0, 295510, 243165, 316828
0, 99, 0, 239764, 243131, 316828
