Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns)
0, 1, 0, 455937, 455937, 0
0, 2, 0, 467629, 461783, 0
0, 3, 0, 403086, 442218, 0
0, 4, 0, 391019, 429419, 0
0, 5, 0, 393586, 422253, 0
0, 6, 0, 380688, 415326, 0
0, 7, 0, 412390, 414907, 0
0, 8, 0, 470964, 421914, 0
0, 9, 0, 372142, 416384, 0
0, 10, 0, 411950, 415941, 411950
0, 11, 0, 424457, 416715, 424457
0, 12, 0, 404745, 415718, 424457
0, 13, 0, 390990, 413816, 424457
0, 14, 0, 462294, 417278, 462294
0, 15, 0, 373024, 414328, 462294
0, 16, 0, 384399, 412458, 462294
0, 17, 0, 494372, 417276, 494372
0, 18, 0, 376481, 415010, 494372
0, 19, 0, 414068, 414961, 494372
0, 20, 0, 461623, 417294, 494372
0, 21, 0, 367024, 414901, 494372
0, 22, 0, 363089, 412546, 494372
0, 23, 0, 463922, 414779, 494372
0, 24, 0, 389941, 413745, 494372
0, 25, 0, 405006, 413396, 494372
0, 26, 0, 378155, 412041, 494372
0, 27, 0, 382210, 410937, 494372
0, 28, 0, 381786, 409896, 494372
0, 29, 0, 504456, 413156, 504456
0, 30, 0, 377245, 411959, 504456
0, 31, 0, 428185, 412482, 504456
0, 32, 0, 473783, 414397, 504456
0, 33, 0, 386790, 413561, 504456
0, 34, 0, 426796, 413950, 504456
0, 35, 0, 470046, 415552, 504456
0, 36, 0, 382239, 414627, 504456
0, 37, 0, 514081, 417314, 514081
0, 38, 0, 405878, 417014, 514081
0, 39, 0, 388160, 416275, 514081
0, 40, 0, 391924, 415667, 514081
0, 41, 0, 409512, 415517, 514081
0, 42, 0, 380315, 414679, 514081
0, 43, 0, 398635, 414306, 514081
0, 44, 0, 498544, 416220, 514081
0, 45, 0, 390935, 415659, 514081
0, 46, 0, 407179, 415475, 514081
0, 47, 0, 391151, 414958, 514081
0, 48, 0, 376690, 414161, 514081
0, 49, 0, 428616, 414456, 514081
0, 50, 0, 486291, 415892, 514081
0, 51, 0, 386170, 415310, 514081
0, 52, 0, 410353, 415215, 514081
0, 53, 0, 425037, 415400, 514081
0, 54, 0, 388950, 414911, 514081
0, 55, 0, 399904, 414639, 514081
0, 56, 0, 490558, 415994, 514081
0, 57, 0, 395293, 415631, 514081
0, 58, 0, 392145, 415227, 514081
0, 59, 0, 503148, 416717, 514081
0, 60, 0, 392209, 416309, 514081
0, 61, 0, 415777, 416301, 514081
0, 62, 0, 480484, 417336, 514081
0, 63, 0, 381886, 416774, 514081
0, 64, 0, 428689, 416960, 514081
0, 65, 0, 414759, 416927, 514081
0, 66, 0, 378565, 416346, 514081
0, 67, 0, 421248, 416419, 514081
0, 68, 0, 477771, 417321, 514081
0, 69, 0, 404143, 417131, 514081
0, 70, 0, 405678, 416968, 514081
0, 71, 0, 409909, 416869, 514081
0, 72, 0, 380243, 416361, 514081
0, 73, 0, 413655, 416324, 514081
0, 74, 0, 491274, 417336, 514081
0, 75, 0, 387556, 416939, 514081
0, 76, 0, 400027, 416717, 514081
0, 77, 0, 493980, 417720, 514081
0, 78, 0, 386301, 417318, 514081
0, 79, 0, 394996, 417036, 514081
0, 80, 0, 390996, 416711, 514081
0, 81, 0, 385312, 416324, 514081
0, 82, 0, 386154, 415957, 514081
0, 83, 0, 475286, 416671, 514081
0, 84, 0, 398110, 416451, 514081
0, 85, 0, 388207, 416119, 514081
0, 86, 0, 422137, 416188, 514081
0, 87, 0, 372713, 415689, 514081
0, 88, 0, 384945, 415340, 514081
0, 89, 0, 426335, 415463, 514081
0, 90, 0, 374544, 415009, 514081
0, 91, 0, 388354, 414717, 514081
0, 92, 0, 472838, 415348, 514081
0, 93, 0, 371257, 414874, 514081
0, 94, 0, 396909, 414683, 514081
0, 95, 0, 471045, 415276, 514081
0, 96, 0, 373983, 414846, 514081
0, 97, 0, 589795, 416649, 589795
0, 98, 0, 423525, 416719, 589795
0, 99, 0, 416303, 416715, 589795
