Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns)
0, 1, 0, 530463, 530463, 0
0, 2, 0, 570799, 550631, 0
0, 3, 0, 394292, 498518, 0
0, 4, 0, 422089, 479411, 0
0, 5, 0, 480673, 479663, 0
0, 6, 0, 511300, 484935, 0
0, 7, 0, 389755, 471338, 0
0, 8, 0, 427308, 465835, 0
0, 9, 0, 418468, 460572, 0
0, 10, 0, 449048, 459420, 449048
0, 11, 0, 486890, 461917, 486890
0, 12, 0, 413317, 457867, 486890
0, 13, 0, 405747, 453858, 486890
0, 14, 0, 506609, 457625, 506609
0, 15, 0, 390376, 453142, 506609
0, 16, 0, 400841, 449874, 506609
0, 17, 0, 492016, 452352, 506609
0, 18, 0, 383837, 448546, 506609
0, 19, 0, 480977, 450252, 506609
0, 20, 0, 482057, 451842, 506609
0, 21, 0, 396873, 449225, 506609
0, 22, 0, 409295, 447410, 506609
0, 23, 0, 434255, 446839, 506609
0, 24, 0, 367274, 443524, 506609
0, 25, 0, 405999, 442023, 506609
0, 26, 0, 469276, 443071, 506609
0, 27, 0, 382354, 440823, 506609
0, 28, 0, 463091, 441618, 506609
0, 29, 0, 475217, 442776, 506609
0, 30, 0, 386070, 440886, 506609
0, 31, 0, 405360, 439740, 506609
0, 32, 0, 463226, 440473, 506609
0, 33, 0, 376212, 438526, 506609
0, 34, 0, 389159, 437075, 506609
0, 35, 0, 377035, 435360, 506609
0, 36, 0, 384992, 433961, 506609
0, 37, 0, 392071, 432829, 506609
0, 38, 0, 474366, 433922, 506609
0, 39, 0, 372663, 432352, 506609
0, 40, 0, 484401, 433653, 506609
0, 41, 0, 430428, 433575, 506609
0, 42, 0, 399897, 432774, 506609
0, 43, 0, 474701, 433749, 506609
0, 44, 0, 472844, 434637, 506609
0, 45, 0, 395451, 433767, 506609
0, 46, 0, 393486, 432892, 506609
0, 47, 0, 414839, 432508, 506609
0, 48, 0, 377043, 431353, 506609
0, 49, 0, 388484, 430479, 506609
0, 50, 0, 492689, 431723, 506609
0, 51, 0, 400011, 431102, 506609
0, 52, 0, 398361, 430473, 506609
0, 53, 0, 468810, 431196, 506609
0, 54, 0, 389336, 430421, 506609
0, 55, 0, 388157, 429653, 506609
0, 56, 0, 472597, 430419, 506609
0, 57, 0, 388164, 429678, 506609
0, 58, 0, 384349, 428897, 506609
0, 59, 0, 480856, 429777, 506609
0, 60, 0, 382845, 428995, 506609
0, 61, 0, 480881, 429845, 506609
0, 62, 0, 421435, 429710, 506609
0, 63, 0, 378960, 428905, 506609
0, 64, 0, 384089, 428205, 506609
0, 65, 0, 484871, 429076, 506609
0, 66, 0, 394589, 428554, 506609
0, 67, 0, 397671, 428094, 506609
0, 68, 0, 399917, 427680, 506609
0, 69, 0, 427276, 427675, 506609
0, 70, 0, 398876, 427264, 506609
0, 71, 0, 473136, 427910, 506609
0, 72, 0, 419702, 427796, 506609
0, 73, 0, 401862, 427441, 506609
0, 74, 0, 489681, 428282, 506609
0, 75, 0, 388420, 427751, 506609
0, 76, 0, 463645, 428223, 506609
0, 77, 0, 472390, 428796, 506609
0, 78, 0, 384140, 428224, 506609
0, 79, 0, 490775, 429015, 506609
0, 80, 0, 470550, 429534, 506609
0, 81, 0, 372702, 428833, 506609
0, 82, 0, 477800, 429430, 506609
0, 83, 0, 468184, 429896, 506609
0, 84, 0, 384542, 429357, 506609
0, 85, 0, 420000, 429247, 506609
0, 86, 0, 469309, 429712, 506609
0, 87, 0, 373930, 429071, 506609
0, 88, 0, 387527, 428599, 506609
0, 89, 0, 486081, 429244, 506609
0, 90, 0, 407645, 429005, 506609
0, 91, 0, 397746, 428662, 506609
0, 92, 0, 467253, 429081, 506609
0, 93, 0, 373640, 428485, 506609
0, 94, 0, 476760, 428998, 506609
0, 95, 0, 479280, 429527, 506609
0, 96, 0, 397216, 429191, 506609
0, 97, 0, 473432, 429647, 506609
0, 98, 0, 416998, 429518, 506609
0, 99, 0, 374757, 428965, 506609
