Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns)
0, 1, 0, 562259, 562259, 0
0, 2, 0, 491186, 526723, 0
0, 3, 0, 482029, 511825, 0
0, 4, 0, 492634, 507028, 0
0, 5, 0, 482978, 502218, 0
0, 6, 0, 477608, 498117, 0
0, 7, 0, 486064, 496396, 0
0, 8, 0, 471270, 493256, 0
0, 9, 0, 492932, 493220, 0
0, 10, 0, 498451, 493743, 498451
0, 11, 0, 489936, 493397, 498451
0, 12, 0, 475878, 491938, 498451
0, 13, 0, 502061, 492716, 502061
0, 14, 0, 481298, 491901, 502061
0, 15, 0, 474042, 490711, 502061
0, 16, 0, 505130, 491612, 505130
0, 17, 0, 494837, 491801, 505130
0, 18, 0, 476667, 490961, 505130
0, 19, 0, 485316, 490664, 505130
0, 20, 0, 472972, 489780, 505130
0, 21, 0, 487482, 489671, 505130
0, 22, 0, 480969, 489276, 505130
0, 23, 0, 493773, 489471, 505130
0, 24, 0, 473776, 488818, 505130
0, 25, 0, 484250, 488636, 505130
0, 26, 0, 463564, 487672, 505130
0, 27, 0, 474338, 487179, 505130
0, 28, 0, 492762, 487378, 505130
0, 29, 0, 474248, 486926, 505130
0, 30, 0, 481765, 486754, 505130
0, 31, 0, 491484, 486906, 505130
0, 32, 0, 474181, 486509, 505130
0, 33, 0, 468480, 485963, 505130
0, 34, 0, 491487, 486125, 505130
0, 35, 0, 525368, 487246, 525368
0, 36, 0, 493139, 487409, 525368
0, 37, 0, 475406, 487085, 525368
0, 38, 0, 462191, 486430, 525368
0, 39, 0, 461425, 485789, 525368
0, 40, 0, 480258, 485651, 525368
0, 41, 0, 452680, 484847, 525368
0, 42, 0, 479180, 484713, 525368
0, 43, 0, 495697, 484968, 525368
0, 44, 0, 473139, 484700, 525368
0, 45, 0, 463918, 484239, 525368
0, 46, 0, 485710, 484270, 525368
0, 47, 0, 469339, 483953, 525368
0, 48, 0, 470460, 483672, 525368
0, 49, 0, 502422, 484054, 525368
0, 50, 0, 489252, 484157, 525368
0, 51, 0, 484715, 484167, 525368
0, 52, 0, 485640, 484195, 525368
0, 53, 0, 478664, 484091, 525368
0, 54, 0, 478810, 483994, 525368
0, 55, 0, 511948, 484502, 525368
0, 56, 0, 515100, 485048, 525368
0, 57, 0, 485882, 485062, 525368
0, 58, 0, 512621, 485537, 525368
0, 59, 0, 483638, 485505, 525368
0, 60, 0, 497047, 485697, 525368
0, 61, 0, 533691, 486483, 533691
0, 62, 0, 492260, 486576, 533691
0, 63, 0, 482181, 486507, 533691
0, 64, 0, 501724, 486744, 533691
0, 65, 0, 474651, 486558, 533691
0, 66, 0, 475463, 486390, 533691
0, 67, 0, 524955, 486965, 533691
0, 68, 0, 485945, 486950, 533691
0, 69, 0, 480019, 486850, 533691
0, 70, 0, 495573, 486974, 533691
0, 71, 0, 464292, 486655, 533691
0, 72, 0, 474966, 486493, 533691
0, 73, 0, 511009, 486828, 533691
0, 74, 0, 480453, 486742, 533691
0, 75, 0, 460357, 486391, 533691
0, 76, 0, 495849, 486515, 533691
0, 77, 0, 485328, 486500, 533691
0, 78, 0, 472040, 486315, 533691
0, 79, 0, 464302, 486037, 533691
0, 80, 0, 476373, 485917, 533691
0, 81, 0, 477163, 485809, 533691
0, 82, 0, 466822, 485578, 533691
0, 83, 0, 489681, 485627, 533691
0, 84, 0, 481926, 485583, 533691
0, 85, 0, 501579, 485771, 533691
0, 86, 0, 479710, 485701, 533691
0, 87, 0, 463215, 485443, 533691
0, 88, 0, 469870, 485267, 533691
0, 89, 0, 484736, 485262, 533691
0, 90, 0, 494299, 485362, 533691
0, 91, 0, 477477, 485276, 533691
0, 92, 0, 477468, 485192, 533691
0, 93, 0, 472916, 485060, 533691
0, 94, 0, 466787, 484866, 533691
0, 95, 0, 480168, 484817, 533691
0, 96, 0, 473247, 484697, 533691
0, 97, 0, 470065, 484547, 533691
0, 98, 0, 479305, 484494, 533691
0, 99, 0, 471212, 484360, 533691
