Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns)
0, 1, 0, 318999, 318999, 0
0, 2, 0, 282341, 300670, 0
0, 3, 0, 229698, 277013, 0
0, 4, 0, 228449, 264872, 0
0, 5, 0, 295270, 270951, 0
0, 6, 0, 230087, 264141, 0
0, 7, 0, 245371, 261460, 0
0, 8, 0, 286266, 264560, 0
0, 9, 0, 223216, 259967, 0
0, 10, 0, 226541, 256625, 226541
0, 11, 0, 284086, 259121, 284086
0, 12, 0, 219767, 255842, 284086
0, 13, 0, 214503, 252663, 284086
0, 14, 0, 297101, 255837, 297101
0, 15, 0, 230328, 254137, 297101
0, 16, 0, 209696, 251360, 297101
0, 17, 0, 265317, 252181, 297101
0, 18, 0, 209114, 249789, 297101
0, 19, 0, 241085, 249331, 297101
0, 20, 0, 301971, 251963, 301971
0, 21, 0, 224916, 250676, 301971
0, 22, 0, 211762, 248908, 301971
0, 23, 0, 308449, 251496, 308449
0, 24, 0, 226242, 250444, 308449
0, 25, 0, 203873, 248582, 308449
0, 26, 0, 283152, 249911, 308449
0, 27, 0, 226851, 249057, 308449
0, 28, 0, 229743, 248368, 308449
0, 29, 0, 287809, 249728, 308449
0, 30, 0, 212983, 248504, 308449
0, 31, 0, 233874, 248033, 308449
0, 32, 0, 278589, 248987, 308449
0, 33, 0, 239363, 248696, 308449
0, 34, 0, 223962, 247969, 308449
0, 35, 0, 288493, 249126, 308449
0, 36, 0, 250675, 249169, 308449
0, 37, 0, 223967, 248488, 308449
0, 38, 0, 244644, 248387, 308449
0, 39, 0, 241097, 248201, 308449
0, 40, 0, 227699, 247689, 308449
0, 41, 0, 222669, 247079, 308449
0, 42, 0, 240289, 246918, 308449
0, 43, 0, 212567, 246120, 308449
0, 44, 0, 228863, 245728, 308449
0, 45, 0, 238788, 245574, 308449
0, 46, 0, 235035, 245345, 308449
0, 47, 0, 214706, 244694, 308449
0, 48, 0, 239369, 244584, 308449
0, 49, 0, 226221, 244210, 308449
0, 50, 0, 207134, 243469, 308449
0, 51, 0, 258472, 243763, 308449
0, 52, 0, 223789, 243379, 308449
0, 53, 0, 215614, 242856, 308449
0, 54, 0, 246823, 242929, 308449
0, 55, 0, 202879, 242201, 308449
0, 56, 0, 209499, 241618, 308449
0, 57, 0, 207257, 241016, 308449
0, 58, 0, 234805, 240909, 308449
0, 59, 0, 213294, 240441, 308449
0, 60, 0, 237724, 240396, 308449
0, 61, 0, 211414, 239921, 308449
0, 62, 0, 232797, 239807, 308449
0, 63, 0, 254191, 240035, 308449
0, 64, 0, 219763, 239719, 308449
0, 65, 0, 214844, 239337, 308449
0, 66, 0, 210308, 238898, 308449
0, 67, 0, 213298, 238516, 308449
0, 68, 0, 211232, 238115, 308449
0, 69, 0, 212474, 237744, 308449
0, 70, 0, 234760, 237702, 308449
0, 71, 0, 214040, 237369, 308449
0, 72, 0, 241056, 237420, 308449
0, 73, 0, 222486, 237216, 308449
0, 74, 0, 212684, 236885, 308449
0, 75, 0, 240900, 236938, 308449
0, 76, 0, 218118, 236691, 308449
0, 77, 0, 230036, 236605, 308449
0, 78, 0, 243428, 236692, 308449
0, 79, 0, 228915, 236594, 308449
0, 80, 0, 212286, 236291, 308449
0, 81, 0, 237838, 236310, 308449
0, 82, 0, 230665, 236242, 308449
0, 83, 0, 216549, 236005, 308449
0, 84, 0, 227955, 235910, 308449
0, 85, 0, 218492, 235706, 308449
0, 86, 0, 214975, 235465, 308449
0, 87, 0, 239368, 235509, 308449
0, 88, 0, 227584, 235419, 308449
0, 89, 0, 207481, 235106, 308449
0, 90, 0, 248008, 235249, 308449
0, 91, 0, 247748, 235386, 308449
0, 92, 0, 213108, 235144, 308449
0, 93, 0, 250690, 235311, 308449
0, 94, 0, 219726, 235146, 308449
0, 95, 0, 226875, 235059, 308449
0, 96, 0, 264947, 235370, 308449
0, 97, 0, 246795, 235487, 308449
0, 98, 0, 222045, 235350, 308449
0, 99, 0, 247486, 235472, 308449
0, 100, 0, 225031, 235368, 308449
