Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns)
0, 1, 0, 410213, 410213, 0
0, 2, 0, 318780, 364497, 0
0, 3, 0, 314799, 347931, 0
0, 4, 0, 339426, 345805, 0
0, 5, 0, 311111, 338867, 0
0, 6, 0, 386469, 346800, 0
0, 7, 0, 345563, 346624, 0
0, 8, 0, 304610, 341373, 0
0, 9, 0, 303503, 337166, 0
0, 10, 0, 311002, 334550, 311002
0, 11, 0, 304404, 331810, 311002
0, 12, 0, 387458, 336447, 387458
0, 13, 0, 336534, 336453, 387458
0, 14, 0, 314694, 334899, 387458
0, 15, 0, 362766, 336756, 387458
0, 16, 0, 333397, 336547, 387458
0, 17, 0, 319006, 335516, 387458
0, 18, 0, 368208, 337332, 387458
0, 19, 0, 340479, 337497, 387458
0, 20, 0, 310122, 336129, 387458
0, 21, 0, 379314, 338185, 387458
0, 22, 0, 335225, 338051, 387458
0, 23, 0, 308338, 336760, 387458
0, 24, 0, 402320, 339491, 402320
0, 25, 0, 346396, 339767, 402320
0, 26, 0, 309494, 338603, 402320
0, 27, 0, 370115, 339770, 402320
0, 28, 0, 338272, 339717, 402320
0, 29, 0, 297078, 338247, 402320
0, 30, 0, 395721, 340162, 402320
0, 31, 0, 337339, 340071, 402320
0, 32, 0, 320872, 339472, 402320
0, 33, 0, 372905, 340485, 402320
0, 34, 0, 345756, 340640, 402320
0, 35, 0, 308302, 339717, 402320
0, 36, 0, 363110, 340366, 402320
0, 37, 0, 349042, 340600, 402320
0, 38, 0, 312622, 339864, 402320
0, 39, 0, 373752, 340732, 402320
0, 40, 0, 306154, 339868, 402320
0, 41, 0, 338975, 339847, 402320
0, 42, 0, 380384, 340812, 402320
0, 43, 0, 350587, 341039, 402320
0, 44, 0, 314251, 340431, 402320
0, 45, 0, 396805, 341683, 402320
0, 46, 0, 346578, 341789, 402320
0, 47, 0, 323312, 341396, 402320
0, 48, 0, 308025, 340701, 402320
0, 49, 0, 297124, 339812, 402320
0, 50, 0, 303846, 339093, 402320
0, 51, 0, 370915, 339716, 402320
0, 52, 0, 344583, 339809, 402320
0, 53, 0, 306871, 339188, 402320
0, 54, 0, 374101, 339834, 402320
0, 55, 0, 298882, 339090, 402320
0, 56, 0, 297476, 338347, 402320
0, 57, 0, 382148, 339115, 402320
0, 58, 0, 343459, 339189, 402320
0, 59, 0, 315290, 338784, 402320
0, 60, 0, 307531, 338264, 402320
0, 61, 0, 354950, 338537, 402320
0, 62, 0, 331328, 338421, 402320
0, 63, 0, 383610, 339138, 402320
0, 64, 0, 341320, 339172, 402320
0, 65, 0, 325120, 338956, 402320
0, 66, 0, 402510, 339918, 402510
0, 67, 0, 327182, 339728, 402510
0, 68, 0, 329468, 339578, 402510
0, 69, 0, 382266, 340196, 402510
0, 70, 0, 351406, 340356, 402510
0, 71, 0, 337989, 340323, 402510
0, 72, 0, 399223, 341141, 402510
0, 73, 0, 361665, 341422, 402510
0, 74, 0, 346547, 341491, 402510
0, 75, 0, 386368, 342089, 402510
0, 76, 0, 343863, 342112, 402510
0, 77, 0, 336937, 342045, 402510
0, 78, 0, 395542, 342730, 402510
0, 79, 0, 347086, 342785, 402510
0, 80, 0, 308748, 342360, 402510
0, 81, 0, 294379, 341768, 402510
0, 82, 0, 333985, 341674, 402510
0, 83, 0, 324985, 341473, 402510
0, 84, 0, 404672, 342225, 404672
0, 85, 0, 327998, 342058, 404672
0, 86, 0, 314765, 341741, 404672
0, 87, 0, 400026, 342410, 404672
0, 88, 0, 398328, 343045, 404672
0, 89, 0, 300200, 342564, 404672
0, 90, 0, 408705, 343298, 408705
0, 91, 0, 335502, 343213, 408705
0, 92, 0, 337823, 343155, 408705
0, 93, 0, 401832, 343785, 408705
0, 94, 0, 334850, 343690, 408705
0, 95, 0, 305014, 343283, 408705
0, 96, 0, 402510, 343899, 408705
0, 97, 0, 343398, 343894, 408705
0, 98, 0, 327546, 343728, 408705
0, 99, 0, 398460, 344280, 408705
