Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns)
0, 1, 0, 541942, 541942, 0
0, 2, 0, 448627, 495285, 0
0, 3, 0, 434210, 474927, 0
0, 4, 0, 439229, 466003, 0
0, 5, 0, 468668, 466536, 0
0, 6, 0, 459116, 465300, 0
0, 7, 0, 465206, 465287, 0
0, 8, 0, 434731, 461468, 0
0, 9, 0, 442318, 459341, 0
0, 10, 0, 463670, 459773, 463670
0, 11, 0, 455075, 459346, 463670
0, 12, 0, 444604, 458118, 463670
0, 13, 0, 460458, 458298, 463670
0, 14, 0, 435688, 456683, 463670
0, 15, 0, 418165, 454116, 463670
0, 16, 0, 440164, 453244, 463670
0, 17, 0, 433607, 452089, 463670
0, 18, 0, 438932, 451359, 463670
0, 19, 0, 439709, 450746, 463670
0, 20, 0, 460567, 451237, 463670
0, 21, 0, 433304, 450384, 463670
0, 22, 0, 435679, 449716, 463670
0, 23, 0, 422168, 448519, 463670
0, 24, 0, 426694, 447610, 463670
0, 25, 0, 427051, 446788, 463670
0, 26, 0, 417600, 445666, 463670
0, 27, 0, 445398, 445657, 463670
0, 28, 0, 431475, 445151, 463670
0, 29, 0, 424639, 444444, 463670
0, 30, 0, 428357, 443908, 463670
0, 31, 0, 447463, 444022, 463670
0, 32, 0, 427427, 443504, 463670
0, 33, 0, 446772, 443603, 463670
0, 34, 0, 452445, 443863, 463670
0, 35, 0, 437368, 443678, 463670
0, 36, 0, 429135, 443275, 463670
0, 37, 0, 430729, 442936, 463670
0, 38, 0, 443346, 442946, 463670
0, 39, 0, 434753, 442736, 463670
0, 40, 0, 458534, 443130, 463670
0, 41, 0, 433863, 442904, 463670
0, 42, 0, 437145, 442767, 463670
0, 43, 0, 440229, 442708, 463670
0, 44, 0, 428913, 442395, 463670
0, 45, 0, 431896, 442162, 463670
0, 46, 0, 436610, 442042, 463670
0, 47, 0, 422980, 441637, 463670
0, 48, 0, 427871, 441351, 463670
0, 49, 0, 482028, 442181, 482028
0, 50, 0, 442612, 442189, 482028
0, 51, 0, 431131, 441973, 482028
0, 52, 0, 434620, 441832, 482028
0, 53, 0, 422510, 441468, 482028
0, 54, 0, 428582, 441230, 482028
0, 55, 0, 443902, 441278, 482028
0, 56, 0, 428509, 441050, 482028
0, 57, 0, 432311, 440897, 482028
0, 58, 0, 467322, 441352, 482028
0, 59, 0, 461985, 441701, 482028
0, 60, 0, 477552, 442298, 482028
0, 61, 0, 458648, 442566, 482028
0, 62, 0, 442552, 442566, 482028
0, 63, 0, 434598, 442440, 482028
0, 64, 0, 450503, 442565, 482028
0, 65, 0, 441206, 442545, 482028
0, 66, 0, 440777, 442519, 482028
0, 67, 0, 460840, 442792, 482028
0, 68, 0, 426364, 442551, 482028
0, 69, 0, 445573, 442594, 482028
0, 70, 0, 434328, 442476, 482028
0, 71, 0, 420462, 442166, 482028
0, 72, 0, 432097, 442027, 482028
0, 73, 0, 429193, 441852, 482028
0, 74, 0, 430514, 441699, 482028
0, 75, 0, 423259, 441454, 482028
0, 76, 0, 448352, 441544, 482028
0, 77, 0, 434074, 441447, 482028
0, 78, 0, 447471, 441524, 482028
0, 79, 0, 448680, 441614, 482028
0, 80, 0, 436292, 441548, 482028
0, 81, 0, 429163, 441396, 482028
0, 82, 0, 443340, 441419, 482028
0, 83, 0, 447898, 441497, 482028
0, 84, 0, 453387, 441638, 482028
0, 85, 0, 440535, 441626, 482028
0, 86, 0, 448318, 441703, 482028
0, 87, 0, 448862, 441785, 482028
0, 88, 0, 461437, 442008, 482028
0, 89, 0, 438867, 441973, 482028
0, 90, 0, 455494, 442123, 482028
0, 91, 0, 460424, 442324, 482028
0, 92, 0, 441576, 442316, 482028
0, 93, 0, 442215, 442315, 482028
0, 94, 0, 447569, 442370, 482028
0, 95, 0, 419532, 442130, 482028
0, 96, 0, 440857, 442117, 482028
0, 97, 0, 436634, 442061, 482028
0, 98, 0, 428821, 441926, 482028
0, 99, 0, 436177, 441868, 482028
