Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns)
0, 1, 0, 360138, 360138, 0
0, 2, 0, 322212, 341175, 0
0, 3, 0, 339111, 340487, 0
0, 4, 0, 325525, 336747, 0
0, 5, 0, 368210, 343039, 0
0, 6, 0, 358914, 345684, 0
0, 7, 0, 252796, 332415, 0
0, 8, 0, 187354, 314283, 0
0, 9, 0, 330443, 316078, 0
0, 10, 0, 319536, 316423, 319536
0, 11, 0, 332452, 317880, 332452
0, 12, 0, 323446, 318343, 332452
0, 13, 0, 322749, 318681, 332452
0, 14, 0, 329366, 319444, 332452
0, 15, 0, 331388, 320240, 332452
0, 16, 0, 326662, 320641, 332452
0, 17, 0, 317491, 320456, 332452
0, 18, 0, 329307, 320947, 332452
0, 19, 0, 328585, 321349, 332452
0, 20, 0, 188599, 314712, 332452
0, 21, 0, 331275, 315500, 332452
0, 22, 0, 330737, 316192, 332452
0, 23, 0, 344312, 317414, 344312
0, 24, 0, 355164, 318986, 355164
0, 25, 0, 345227, 320035, 355164
0, 26, 0, 352241, 321273, 355164
0, 27, 0, 347297, 322236, 355164
0, 28, 0, 357741, 323504, 357741
0, 29, 0, 353628, 324542, 357741
0, 30, 0, 330230, 324731, 357741
0, 31, 0, 345128, 325388, 357741
0, 32, 0, 346118, 326035, 357741
0, 33, 0, 335273, 326314, 357741
0, 34, 0, 330900, 326448, 357741
0, 35, 0, 320112, 326267, 357741
0, 36, 0, 339002, 326620, 357741
0, 37, 0, 332401, 326776, 357741
0, 38, 0, 333503, 326953, 357741
0, 39, 0, 323846, 326874, 357741
0, 40, 0, 335513, 327089, 357741
0, 41, 0, 207784, 324180, 357741
0, 42, 0, 360950, 325055, 360950
0, 43, 0, 351463, 325669, 360950
0, 44, 0, 335699, 325896, 360950
0, 45, 0, 328293, 325949, 360950
0, 46, 0, 338381, 326219, 360950
0, 47, 0, 372648, 327206, 372648
0, 48, 0, 354242, 327769, 372648
0, 49, 0, 237870, 325935, 372648
0, 50, 0, 199148, 323400, 372648
0, 51, 0, 310735, 323152, 372648
0, 52, 0, 319338, 323079, 372648
0, 53, 0, 322226, 323063, 372648
0, 54, 0, 316369, 322940, 372648
0, 55, 0, 186902, 320467, 372648
0, 56, 0, 315602, 320381, 372648
0, 57, 0, 328236, 320518, 372648
0, 58, 0, 323372, 320567, 372648
0, 59, 0, 310360, 320394, 372648
0, 60, 0, 333261, 320608, 372648
0, 61, 0, 308202, 320405, 372648
0, 62, 0, 313396, 320292, 372648
0, 63, 0, 313473, 320184, 372648
0, 64, 0, 326170, 320277, 372648
0, 65, 0, 221760, 318762, 372648
0, 66, 0, 327052, 318887, 372648
0, 67, 0, 328016, 319023, 372648
0, 68, 0, 324008, 319096, 372648
0, 69, 0, 261597, 318263, 372648
0, 70, 0, 354192, 318776, 372648
0, 71, 0, 351976, 319243, 372648
0, 72, 0, 351885, 319696, 372648
0, 73, 0, 350802, 320122, 372648
0, 74, 0, 352353, 320557, 372648
0, 75, 0, 348074, 320923, 372648
0, 76, 0, 331827, 321066, 372648
0, 77, 0, 372352, 321732, 372648
0, 78, 0, 349995, 322094, 372648
0, 79, 0, 329932, 322193, 372648
0, 80, 0, 335186, 322355, 372648
0, 81, 0, 340466, 322578, 372648
0, 82, 0, 335509, 322735, 372648
0, 83, 0, 336079, 322895, 372648
0, 84, 0, 317395, 322830, 372648
0, 85, 0, 362024, 323291, 372648
0, 86, 0, 334520, 323421, 372648
0, 87, 0, 217523, 322204, 372648
0, 88, 0, 325867, 322245, 372648
0, 89, 0, 335167, 322390, 372648
0, 90, 0, 327836, 322450, 372648
0, 91, 0, 320664, 322431, 372648
0, 92, 0, 329087, 322503, 372648
0, 93, 0, 336175, 322650, 372648
0, 94, 0, 282644, 322225, 372648
0, 95, 0, 235467, 321312, 372648
0, 96, 0, 228425, 320345, 372648
0, 97, 0, 330516, 320449, 372648
0, 98, 0, 328658, 320532, 372648
0, 99, 0, 425463, 321591, 425463
