Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns)
0, 1, 0, 422867, 422867, 0
0, 2, 0, 388526, 405697, 0
0, 3, 0, 380896, 397430, 0
0, 4, 0, 417991, 402570, 0
0, 5, 0, 389621, 399981, 0
0, 6, 0, 397261, 399528, 0
0, 7, 0, 394772, 398849, 0
0, 8, 0, 395449, 398424, 0
0, 9, 0, 438641, 402892, 0
0, 10, 0, 381361, 400739, 381361
0, 11, 0, 392751, 400013, 392751
0, 12, 0, 273426, 389465, 392751
0, 13, 0, 417719, 391638, 417719
0, 14, 0, 377806, 390650, 417719
0, 15, 0, 376796, 389727, 417719
0, 16, 0, 379052, 389060, 417719
0, 17, 0, 378290, 388427, 417719
0, 18, 0, 377501, 387820, 417719
0, 19, 0, 374913, 387141, 417719
0, 20, 0, 375838, 386576, 417719
0, 21, 0, 370100, 385792, 417719
0, 22, 0, 368394, 385002, 417719
0, 23, 0, 393164, 385356, 417719
0, 24, 0, 300868, 381836, 417719
0, 25, 0, 383593, 381906, 417719
0, 26, 0, 385710, 382052, 417719
0, 27, 0, 270442, 377919, 417719
0, 28, 0, 376056, 377853, 417719
0, 29, 0, 284696, 374641, 417719
0, 30, 0, 411657, 375874, 417719
0, 31, 0, 409920, 376972, 417719
0, 32, 0, 404405, 377829, 417719
0, 33, 0, 441701, 379764, 441701
0, 34, 0, 404083, 380479, 441701
0, 35, 0, 403468, 381135, 441701
0, 36, 0, 420384, 382225, 441701
0, 37, 0, 391807, 382483, 441701
0, 38, 0, 408116, 383157, 441701
0, 39, 0, 407705, 383786, 441701
0, 40, 0, 404055, 384292, 441701
0, 41, 0, 404792, 384792, 441701
0, 42, 0, 404814, 385268, 441701
0, 43, 0, 400231, 385615, 441701
0, 44, 0, 403002, 386010, 441701
0, 45, 0, 395738, 386226, 441701
0, 46, 0, 387670, 386257, 441701
0, 47, 0, 395142, 386446, 441701
0, 48, 0, 387348, 386464, 441701
0, 49, 0, 388281, 386501, 441701
0, 50, 0, 397774, 386726, 441701
0, 51, 0, 400727, 387000, 441701
0, 52, 0, 396201, 387176, 441701
0, 53, 0, 402514, 387465, 441701
0, 54, 0, 397484, 387650, 441701
0, 55, 0, 391356, 387717, 441701
0, 56, 0, 391302, 387781, 441701
0, 57, 0, 388595, 387795, 441701
0, 58, 0, 391837, 387864, 441701
0, 59, 0, 393756, 387963, 441701
0, 60, 0, 377291, 387786, 441701
0, 61, 0, 380240, 387663, 441701
0, 62, 0, 380831, 387553, 441701
0, 63, 0, 372691, 387318, 441701
0, 64, 0, 377545, 387166, 441701
0, 65, 0, 374411, 386970, 441701
0, 66, 0, 401425, 387189, 441701
0, 67, 0, 383632, 387136, 441701
0, 68, 0, 375161, 386960, 441701
0, 69, 0, 373627, 386767, 441701
0, 70, 0, 371436, 386548, 441701
0, 71, 0, 373516, 386365, 441701
0, 72, 0, 377318, 386240, 441701
0, 73, 0, 377395, 386119, 441701
0, 74, 0, 375664, 385978, 441701
0, 75, 0, 308318, 384943, 441701
0, 76, 0, 397640, 385110, 441701
0, 77, 0, 409948, 385432, 441701
0, 78, 0, 391609, 385511, 441701
0, 79, 0, 406826, 385780, 441701
0, 80, 0, 389563, 385827, 441701
0, 81, 0, 434807, 386431, 441701
0, 82, 0, 408923, 386705, 441701
0, 83, 0, 404795, 386922, 441701
0, 84, 0, 369302, 386713, 441701
0, 85, 0, 406117, 386941, 441701
0, 86, 0, 401394, 387109, 441701
0, 87, 0, 403121, 387293, 441701
0, 88, 0, 416452, 387624, 441701
0, 89, 0, 406311, 387833, 441701
0, 90, 0, 420739, 388198, 441701
0, 91, 0, 402384, 388353, 441701
0, 92, 0, 390048, 388371, 441701
0, 93, 0, 398590, 388480, 441701
0, 94, 0, 406381, 388670, 441701
0, 95, 0, 382581, 388606, 441701
0, 96, 0, 396915, 388692, 441701
0, 97, 0, 396759, 388775, 441701
0, 98, 0, 416482, 389057, 441701
0, 99, 0, 395809, 389125, 441701
