Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns)
0, 1, 0, 189637, 189637, 0
0, 2, 0, 198541, 194089, 0
0, 3, 0, 286032, 224736, 0
0, 4, 0, 167384, 210398, 0
0, 5, 0, 288868, 226092, 0
0, 6, 0, 287003, 236243, 0
0, 7, 0, 295127, 244655, 0
0, 8, 0, 196515, 238638, 0
0, 9, 0, 301721, 245647, 0
0, 10, 0, 290843, 250166, 290843
0, 11, 0, 289579, 253749, 290843
0, 12, 0, 287316, 256546, 290843
0, 13, 0, 281030, 258429, 290843
0, 14, 0, 301423, 261500, 301423
0, 15, 0, 300249, 264083, 301423
0, 16, 0, 321286, 267658, 321286
0, 17, 0, 328727, 271250, 328727
0, 18, 0, 330088, 274518, 330088
0, 19, 0, 313498, 276569, 330088
0, 20, 0, 290990, 277290, 330088
0, 21, 0, 306555, 278683, 330088
0, 22, 0, 302098, 279747, 330088
0, 23, 0, 215230, 276942, 330088
0, 24, 0, 186846, 273188, 330088
0, 25, 0, 288921, 273817, 330088
0, 26, 0, 168351, 269761, 330088
0, 27, 0, 304376, 271043, 330088
0, 28, 0, 304691, 272244, 330088
0, 29, 0, 315128, 273722, 330088
0, 30, 0, 294456, 274413, 330088
0, 31, 0, 286328, 274797, 330088
0, 32, 0, 310527, 275913, 330088
0, 33, 0, 307763, 276878, 330088
0, 34, 0, 310260, 277859, 330088
0, 35, 0, 306058, 278664, 330088
0, 36, 0, 302819, 279334, 330088
0, 37, 0, 308371, 280118, 330088
0, 38, 0, 282061, 280169, 330088
0, 39, 0, 292860, 280494, 330088
0, 40, 0, 273161, 280311, 330088
0, 41, 0, 285307, 280432, 330088
0, 42, 0, 274543, 280292, 330088
0, 43, 0, 278199, 280244, 330088
0, 44, 0, 284090, 280331, 330088
0, 45, 0, 262577, 279937, 330088
0, 46, 0, 187091, 277919, 330088
0, 47, 0, 327602, 278976, 330088
0, 48, 0, 293351, 279275, 330088
0, 49, 0, 286912, 279430, 330088
0, 50, 0, 178995, 277422, 330088
0, 51, 0, 291349, 277695, 330088
0, 52, 0, 282026, 277778, 330088
0, 53, 0, 278675, 277794, 330088
0, 54, 0, 153769, 275498, 330088
0, 55, 0, 310494, 276134, 330088
0, 56, 0, 284865, 276289, 330088
0, 57, 0, 278860, 276334, 330088
0, 58, 0, 297189, 276693, 330088
0, 59, 0, 179939, 275054, 330088
0, 60, 0, 181750, 273499, 330088
0, 61, 0, 297118, 273886, 330088
0, 62, 0, 292277, 274182, 330088
0, 63, 0, 288879, 274415, 330088
0, 64, 0, 315797, 275061, 330088
0, 65, 0, 291319, 275311, 330088
0, 66, 0, 293241, 275582, 330088
0, 67, 0, 291792, 275823, 330088
0, 68, 0, 204154, 274770, 330088
0, 69, 0, 190091, 273543, 330088
0, 70, 0, 289219, 273766, 330088
0, 71, 0, 272519, 273749, 330088
0, 72, 0, 178244, 272423, 330088
0, 73, 0, 316013, 273020, 330088
0, 74, 0, 293586, 273297, 330088
0, 75, 0, 305215, 273722, 330088
0, 76, 0, 314155, 274254, 330088
0, 77, 0, 304653, 274648, 330088
0, 78, 0, 311058, 275114, 330088
0, 79, 0, 308796, 275540, 330088
0, 80, 0, 313721, 276017, 330088
0, 81, 0, 303611, 276357, 330088
0, 82, 0, 308902, 276753, 330088
0, 83, 0, 300619, 277040, 330088
0, 84, 0, 311116, 277445, 330088
0, 85, 0, 301006, 277722, 330088
0, 86, 0, 295042, 277923, 330088
0, 87, 0, 300045, 278177, 330088
0, 88, 0, 290667, 278318, 330088
0, 89, 0, 297799, 278536, 330088
0, 90, 0, 152645, 277138, 330088
0, 91, 0, 333205, 277754, 333205
0, 92, 0, 286639, 277850, 333205
0, 93, 0, 284845, 277925, 333205
0, 94, 0, 284876, 277998, 333205
0, 95, 0, 287666, 278099, 333205
0, 96, 0, 287478, 278196, 333205
0, 97, 0, 316572, 278591, 333205
0, 98, 0, 287067, 278677, 333205
0, 99, 0, 288393, 278775, 333205
