
Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns)
0, 0, 0, 537666, 0, 0
0, 0, 0, 439651, 0, 0
0, 0, 0, 417104, 0, 0
0, 0, 0, 429556, 0, 0
0, 0, 0, 447061, 0, 0
0, 0, 0, 417065, 0, 0
0, 0, 0, 419935, 0, 0
0, 0, 0, 413742, 0, 0
0, 0, 0, 431872, 0, 0
0, 0, 0, 428960, 0, 0
0, 0, 0, 435110, 0, 0
0, 0, 0, 414334, 0, 0
0, 0, 0, 413141, 0, 0
0, 0, 0, 412833, 0, 0
0, 0, 0, 414192, 0, 0
0, 0, 0, 431644, 0, 0
0, 0, 0, 467638, 0, 0
0, 0, 0, 450611, 0, 0
0, 0, 0, 479054, 0, 0
0, 0, 0, 520360, 0, 0
0, 0, 0, 527031, 0, 0
0, 0, 0, 530734, 0, 0
0, 0, 0, 485740, 0, 0
0, 0, 0, 500744, 0, 0
0, 0, 0, 476426, 0, 0
0, 0, 0, 474191, 0, 0
0, 0, 0, 507738, 0, 0
0, 0, 0, 488836, 0, 0
0, 0, 0, 491015, 0, 0
0, 0, 0, 502985, 0, 0
0, 0, 0, 491255, 0, 0
0, 0, 0, 481089, 0, 0
0, 0, 0, 482329, 0, 0
0, 0, 0, 549037, 0, 0
0, 0, 0, 512361, 0, 0
0, 0, 0, 476673, 0, 0
0, 0, 0, 596194, 0, 0
0, 0, 0, 527800, 0, 0
0, 0, 0, 519768, 0, 0
0, 0, 0, 495018, 0, 0
0, 0, 0, 477977, 0, 0
0, 0, 0, 480832, 0, 0
0, 0, 0, 502124, 0, 0
0, 0, 0, 477582, 0, 0
0, 0, 0, 483041, 0, 0
0, 0, 0, 495634, 0, 0
0, 0, 0, 469583, 0, 0
0, 0, 0, 485458, 0, 0
0, 0, 0, 482010, 0, 0
0, 0, 0, 474031, 0, 0
0, 0, 0, 482666, 0, 0
0, 0, 0, 551562, 0, 0
0, 0, 0, 491813, 0, 0
0, 0, 0, 486959, 0, 0
0, 0, 0, 511168, 0, 0
0, 0, 0, 509752, 0, 0
0, 0, 0, 591825, 0, 0
0, 0, 0, 488169, 0, 0
0, 0, 0, 473159, 0, 0
0, 0, 0, 482315, 0, 0
0, 0, 0, 481160, 0, 0
0, 0, 0, 471201, 0, 0
0, 0, 0, 488795, 0, 0
0, 0, 0, 489201, 0, 0
0, 0, 0, 470337, 0, 0
0, 0, 0, 486108, 0, 0
0, 0, 0, 495733, 0, 0
0, 0, 0, 484161, 0, 0
0, 0, 0, 562744, 0, 0
0, 0, 0, 494193, 0, 0
0, 0, 0, 493037, 0, 0
0, 0, 0, 479329, 0, 0
0, 0, 0, 501714, 0, 0
0, 0, 0, 508006, 0, 0
0, 0, 0, 485339, 0, 0
0, 0, 0, 484861, 0, 0
0, 0, 0, 494330, 0, 0
0, 0, 0, 490413, 0, 0
0, 0, 0, 488112, 0, 0
0, 0, 0, 477684, 0, 0
0, 0, 0, 489914, 0, 0
0, 0, 0, 482456, 0, 0
0, 0, 0, 471769, 0, 0
0, 0, 0, 501029, 0, 0
0, 0, 0, 487009, 0, 0
0, 0, 0, 488405, 0, 0
0, 0, 0, 544436, 0, 0
0, 0, 0, 496562, 0, 0
0, 0, 0, 505666, 0, 0
0, 0, 0, 521645, 0, 0
0, 0, 0, 524657, 0, 0
0, 0, 0, 542615, 0, 0
0, 0, 0, 487605, 0, 0
0, 0, 0, 469939, 0, 0
0, 0, 0, 487376, 0, 0
0, 0, 0, 498407, 0, 0
0, 0, 0, 480793, 0, 0
0, 0, 0, 482710, 0, 0
0, 0, 0, 498377, 0, 0
0, 0, 0, 474096, 0, 0
0, 0, 0, 467680, 0, 0
0, 0, 0, 475846, 0, 0
0, 0, 0, 478545, 0, 0
0, 0, 0, 552596, 0, 0
0, 0, 0, 502795, 0, 0
0, 0, 0, 488879, 0, 0
0, 0, 0, 474754, 0, 0
0, 0, 0, 417452, 0, 0
0, 0, 0, 414369, 0, 0
0, 0, 0, 413525, 0, 0
0, 0, 0, 420337, 0, 0
0, 0, 0, 433139, 0, 0
0, 0, 0, 423024, 0, 0
0, 0, 0, 415513, 0, 0
0, 0, 0, 417430, 0, 0
0, 0, 0, 415648, 0, 0
0, 0, 0, 428450, 0, 0
0, 0, 0, 434845, 0, 0
0, 0, 0, 417126, 0, 0
0, 0, 0, 419043, 0, 0
0, 0, 0, 416220, 0, 0
0, 0, 0, 417616, 0, 0
0, 0, 0, 438594, 0, 0
0, 0, 0, 428115, 0, 0
0, 0, 0, 417010, 0, 0
0, 0, 0, 497468, 0, 0
0, 0, 0, 429019, 0, 0
0, 0, 0, 464830, 0, 0
0, 0, 0, 450590, 0, 0
0, 0, 0, 420933, 0, 0
0, 0, 0, 490130, 0, 0
0, 0, 0, 509847, 0, 0
0, 0, 0, 513784, 0, 0
0, 0, 0, 477930, 0, 0
0, 0, 0, 480825, 0, 0
0, 0, 0, 500647, 0, 0
0, 0, 0, 513698, 0, 0
0, 0, 0, 483885, 0, 0
0, 0, 0, 477510, 0, 0
0, 0, 0, 478737, 0, 0
0, 0, 0, 472779, 0, 0
0, 0, 0, 471507, 0, 0
0, 0, 0, 502266, 0, 0
0, 0, 0, 478182, 0, 0
0, 0, 0, 546963, 0, 0
0, 0, 0, 503712, 0, 0
0, 0, 0, 526867, 0, 0
0, 0, 0, 447107, 0, 0
0, 0, 0, 422138, 0, 0
0, 0, 0, 438261, 0, 0
0, 0, 0, 422406, 0, 0
0, 0, 0, 444364, 0, 0
0, 0, 0, 416060, 0, 0
0, 0, 0, 415569, 0, 0
0, 0, 0, 420704, 0, 0
0, 0, 0, 451723, 0, 0
0, 0, 0, 415035, 0, 0
0, 0, 0, 411993, 0, 0
0, 0, 0, 420876, 0, 0
0, 0, 0, 412364, 0, 0
0, 0, 0, 414687, 0, 0
0, 0, 0, 431800, 0, 0
0, 0, 0, 424695, 0, 0
0, 0, 0, 411965, 0, 0
0, 0, 0, 412463, 0, 0
0, 0, 0, 416452, 0, 0
0, 0, 0, 419035, 0, 0
0, 0, 0, 430315, 0, 0
0, 0, 0, 413105, 0, 0
0, 0, 0, 411521, 0, 0
0, 0, 0, 411290, 0, 0
0, 0, 0, 415956, 0, 0
0, 0, 0, 431194, 0, 0
0, 0, 0, 414402, 0, 0
0, 0, 0, 411880, 0, 0
0, 0, 0, 421806, 0, 0
0, 0, 0, 412304, 0, 0
0, 0, 0, 414574, 0, 0
0, 0, 0, 432001, 0, 0
0, 0, 0, 412343, 0, 0
0, 0, 0, 413415, 0, 0
0, 0, 0, 414227, 0, 0
0, 0, 0, 414257, 0, 0
0, 0, 0, 423870, 0, 0
0, 0, 0, 429317, 0, 0
0, 0, 0, 426482, 0, 0
0, 0, 0, 422189, 0, 0
0, 0, 0, 471594, 0, 0
0, 0, 0, 467874, 0, 0
0, 0, 0, 450196, 0, 0
0, 0, 0, 540227, 0, 0
0, 0, 0, 518851, 0, 0
0, 0, 0, 512111, 0, 0
0, 0, 0, 486204, 0, 0
0, 0, 0, 476079, 0, 0
0, 0, 0, 499859, 0, 0
0, 0, 0, 478326, 0, 0
0, 0, 0, 481639, 0, 0
0, 0, 0, 481148, 0, 0
0, 0, 0, 477793, 0, 0
0, 0, 0, 485740, 0, 0
0, 0, 0, 480302, 0, 0
0, 0, 0, 477000, 0, 0
0, 0, 0, 578123, 0, 0
0, 0, 0, 566695, 0, 0
0, 0, 0, 497872, 0, 0
0, 0, 0, 496341, 0, 0
0, 0, 0, 465694, 0, 0
0, 0, 0, 415776, 0, 0
0, 0, 0, 431745, 0, 0
0, 0, 0, 418129, 0, 0
0, 0, 0, 420711, 0, 0
0, 0, 0, 427929, 0, 0
0, 0, 0, 431500, 0, 0
0, 0, 0, 419239, 0, 0
0, 0, 0, 415779, 0, 0
0, 0, 0, 414039, 0, 0
0, 0, 0, 417819, 0, 0
0, 0, 0, 429724, 0, 0
0, 0, 0, 415327, 0, 0
0, 0, 0, 417650, 0, 0
0, 0, 0, 449398, 0, 0
0, 0, 0, 416720, 0, 0
0, 0, 0, 411854, 0, 0
0, 0, 0, 424176, 0, 0
0, 0, 0, 474669, 0, 0
0, 0, 0, 473187, 0, 0
0, 0, 0, 454672, 0, 0
0, 0, 0, 473864, 0, 0
0, 0, 0, 508681, 0, 0
0, 0, 0, 521104, 0, 0
0, 0, 0, 474307, 0, 0
0, 0, 0, 488552, 0, 0
0, 0, 0, 477902, 0, 0
0, 0, 0, 485897, 0, 0
0, 0, 0, 483787, 0, 0
0, 0, 0, 476418, 0, 0
0, 0, 0, 486340, 0, 0
0, 0, 0, 479438, 0, 0
0, 0, 0, 477903, 0, 0
0, 0, 0, 495221, 0, 0
0, 0, 0, 479830, 0, 0
0, 0, 0, 562564, 0, 0
0, 0, 0, 501445, 0, 0
0, 0, 0, 498034, 0, 0
0, 0, 0, 470664, 0, 0
0, 0, 0, 421576, 0, 0
0, 0, 0, 418633, 0, 0
0, 0, 0, 422097, 0, 0
0, 0, 0, 424884, 0, 0
0, 0, 0, 439544, 0, 0
0, 0, 0, 414727, 0, 0
0, 0, 0, 420378, 0, 0
0, 0, 0, 415299, 0, 0
0, 0, 0, 419805, 0, 0
0, 0, 0, 429258, 0, 0
0, 0, 0, 419440, 0, 0
0, 0, 0, 419623, 0, 0
0, 0, 0, 418607, 0, 0
0, 0, 0, 414727, 0, 0
0, 0, 0, 438503, 0, 0
0, 0, 0, 428893, 0, 0
0, 0, 0, 418189, 0, 0
0, 0, 0, 413267, 0, 0
0, 0, 0, 427252, 0, 0
0, 0, 0, 438372, 0, 0
0, 0, 0, 422669, 0, 0
0, 0, 0, 413944, 0, 0
0, 0, 0, 417825, 0, 0
0, 0, 0, 417486, 0, 0
0, 0, 0, 430064, 0, 0
0, 0, 0, 434309, 0, 0
0, 0, 0, 413814, 0, 0
0, 0, 0, 418683, 0, 0
0, 0, 0, 430480, 0, 0
0, 0, 0, 412850, 0, 0
0, 0, 0, 416313, 0, 0
0, 0, 0, 439933, 0, 0
0, 0, 0, 415740, 0, 0
0, 0, 0, 413787, 0, 0
0, 0, 0, 412980, 0, 0
0, 0, 0, 418423, 0, 0
