Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns),,
0,0,0,537240,0,0,,445299.105
0,0,0,488578,0,0,,
0,0,0,479031,0,0,,
0,0,0,460942,0,0,,
0,0,0,470976,0,0,,
0,0,0,566376,0,0,,
0,0,0,468288,0,0,,
0,0,0,436343,0,0,,
0,0,0,421744,0,0,,
0,0,0,428706,0,0,,
0,0,0,421242,0,0,,
0,0,0,438830,0,0,,
0,0,0,428397,0,0,,
0,0,0,424318,0,0,,
0,0,0,433937,0,0,,
0,0,0,427879,0,0,,
0,0,0,423852,0,0,,
0,0,0,455190,0,0,,
0,0,0,421996,0,0,,
0,0,0,430105,0,0,,
0,0,0,433265,0,0,,
0,0,0,423249,0,0,,
0,0,0,436097,0,0,,
0,0,0,420456,0,0,,
0,0,0,424137,0,0,,
0,0,0,429954,0,0,,
0,0,0,433376,0,0,,
0,0,0,425911,0,0,,
0,0,0,425373,0,0,,
0,0,0,413378,0,0,,
0,0,0,420653,0,0,,
0,0,0,434283,0,0,,
0,0,0,434057,0,0,,
0,0,0,420240,0,0,,
0,0,0,430119,0,0,,
0,0,0,437867,0,0,,
0,0,0,464176,0,0,,
0,0,0,471886,0,0,,
0,0,0,430847,0,0,,
0,0,0,534078,0,0,,
0,0,0,497153,0,0,,
0,0,0,470437,0,0,,
0,0,0,453878,0,0,,
0,0,0,483307,0,0,,
0,0,0,456695,0,0,,
0,0,0,464718,0,0,,
0,0,0,458262,0,0,,
0,0,0,451181,0,0,,
0,0,0,456236,0,0,,
0,0,0,461863,0,0,,
0,0,0,456501,0,0,,
0,0,0,453431,0,0,,
0,0,0,458954,0,0,,
0,0,0,452707,0,0,,
0,0,0,468438,0,0,,
0,0,0,506878,0,0,,
0,0,0,464067,0,0,,
0,0,0,430477,0,0,,
0,0,0,416000,0,0,,
0,0,0,420898,0,0,,
0,0,0,416630,0,0,,
0,0,0,417674,0,0,,
0,0,0,467936,0,0,,
0,0,0,452574,0,0,,
0,0,0,430962,0,0,,
0,0,0,516901,0,0,,
0,0,0,495498,0,0,,
0,0,0,484980,0,0,,
0,0,0,456649,0,0,,
0,0,0,444725,0,0,,
0,0,0,467174,0,0,,
0,0,0,452698,0,0,,
0,0,0,460409,0,0,,
0,0,0,453484,0,0,,
0,0,0,463955,0,0,,
0,0,0,451353,0,0,,
0,0,0,437502,0,0,,
0,0,0,540212,0,0,,
0,0,0,470163,0,0,,
0,0,0,452196,0,0,,
0,0,0,448814,0,0,,
0,0,0,451889,0,0,,
0,0,0,472777,0,0,,
0,0,0,429863,0,0,,
0,0,0,436323,0,0,,
0,0,0,427367,0,0,,
0,0,0,427630,0,0,,
0,0,0,432789,0,0,,
0,0,0,432896,0,0,,
0,0,0,420033,0,0,,
0,0,0,430609,0,0,,
0,0,0,418893,0,0,,
0,0,0,419364,0,0,,
0,0,0,434053,0,0,,
0,0,0,428535,0,0,,
0,0,0,426506,0,0,,
0,0,0,419842,0,0,,
0,0,0,414688,0,0,,
0,0,0,422503,0,0,,
0,0,0,428286,0,0,,
0,0,0,422456,0,0,,
0,0,0,419802,0,0,,
0,0,0,427721,0,0,,
0,0,0,436734,0,0,,
0,0,0,484705,0,0,,
0,0,0,459707,0,0,,
0,0,0,438772,0,0,,
0,0,0,524191,0,0,,
0,0,0,506485,0,0,,
0,0,0,449404,0,0,,
0,0,0,447115,0,0,,
0,0,0,479670,0,0,,
0,0,0,458162,0,0,,
0,0,0,461029,0,0,,
0,0,0,463063,0,0,,
0,0,0,460721,0,0,,
0,0,0,451922,0,0,,
0,0,0,451507,0,0,,
0,0,0,446666,0,0,,
0,0,0,445887,0,0,,
0,0,0,454379,0,0,,
0,0,0,450996,0,0,,
0,0,0,470894,0,0,,
0,0,0,457511,0,0,,
0,0,0,477409,0,0,,
0,0,0,416474,0,0,,
0,0,0,414341,0,0,,
0,0,0,419813,0,0,,
0,0,0,424763,0,0,,
0,0,0,443412,0,0,,
0,0,0,427998,0,0,,
0,0,0,444562,0,0,,
0,0,0,422013,0,0,,
0,0,0,438005,0,0,,
0,0,0,470709,0,0,,
0,0,0,466901,0,0,,
0,0,0,452937,0,0,,
0,0,0,536630,0,0,,
0,0,0,578343,0,0,,
0,0,0,468756,0,0,,
0,0,0,448856,0,0,,
0,0,0,469425,0,0,,
0,0,0,443743,0,0,,
0,0,0,478113,0,0,,
0,0,0,468004,0,0,,
0,0,0,469614,0,0,,
0,0,0,462995,0,0,,
0,0,0,462573,0,0,,
0,0,0,466630,0,0,,
0,0,0,467564,0,0,,
0,0,0,463757,0,0,,
0,0,0,453804,0,0,,
0,0,0,445935,0,0,,
0,0,0,458691,0,0,,
0,0,0,556394,0,0,,
0,0,0,509254,0,0,,
0,0,0,480760,0,0,,
0,0,0,466172,0,0,,
0,0,0,448615,0,0,,
0,0,0,457882,0,0,,
0,0,0,484387,0,0,,
0,0,0,456154,0,0,,
0,0,0,459326,0,0,,
0,0,0,451821,0,0,,
0,0,0,444733,0,0,,
0,0,0,453114,0,0,,
0,0,0,449307,0,0,,
0,0,0,455865,0,0,,
0,0,0,444402,0,0,,
0,0,0,447887,0,0,,
0,0,0,457518,0,0,,
0,0,0,448659,0,0,,
0,0,0,475217,0,0,,
0,0,0,421410,0,0,,
0,0,0,426510,0,0,,
0,0,0,431193,0,0,,
0,0,0,424260,0,0,,
0,0,0,426496,0,0,,
0,0,0,412428,0,0,,
0,0,0,416487,0,0,,
0,0,0,427783,0,0,,
0,0,0,426112,0,0,,
0,0,0,428817,0,0,,
0,0,0,433238,0,0,,
0,0,0,452921,0,0,,
0,0,0,466458,0,0,,
0,0,0,455881,0,0,,
0,0,0,436970,0,0,,
0,0,0,567172,0,0,,
0,0,0,468523,0,0,,
0,0,0,454768,0,0,,
0,0,0,446639,0,0,,
0,0,0,469758,0,0,,
0,0,0,451108,0,0,,
0,0,0,454489,0,0,,
0,0,0,448703,0,0,,
0,0,0,444115,0,0,,
0,0,0,519943,0,0,,
0,0,0,579990,0,0,,
0,0,0,608267,0,0,,
0,0,0,641074,0,0,,
0,0,0,590549,0,0,,
0,0,0,553930,0,0,,
0,0,0,476426,0,0,,
0,0,0,553608,0,0,,
0,0,0,458865,0,0,,
0,0,0,418131,0,0,,
0,0,0,427553,0,0,,
0,0,0,413174,0,0,,
0,0,0,420200,0,0,,
0,0,0,416082,0,0,,
0,0,0,417639,0,0,,
0,0,0,430603,0,0,,
0,0,0,446796,0,0,,
0,0,0,424344,0,0,,
0,0,0,417724,0,0,,
0,0,0,412981,0,0,,
0,0,0,422194,0,0,,
0,0,0,421305,0,0,,
0,0,0,415258,0,0,,
0,0,0,429212,0,0,,
0,0,0,423374,0,0,,
0,0,0,427328,0,0,,
0,0,0,429406,0,0,,
0,0,0,415703,0,0,,
0,0,0,461896,0,0,,
0,0,0,419028,0,0,,
0,0,0,413242,0,0,,
0,0,0,417091,0,0,,
0,0,0,425889,0,0,,
0,0,0,434008,0,0,,
0,0,0,422755,0,0,,
0,0,0,439468,0,0,,
0,0,0,464778,0,0,,
0,0,0,468419,0,0,,
0,0,0,433937,0,0,,
0,0,0,518464,0,0,,
0,0,0,508616,0,0,,
0,0,0,450280,0,0,,
0,0,0,448557,0,0,,
0,0,0,461626,0,0,,
0,0,0,465268,0,0,,
0,0,0,464848,0,0,,
0,0,0,453751,0,0,,
0,0,0,444320,0,0,,
0,0,0,448379,0,0,,
0,0,0,454364,0,0,,
0,0,0,446809,0,0,,
0,0,0,445399,0,0,,
0,0,0,441749,0,0,,
0,0,0,451954,0,0,,
0,0,0,448773,0,0,,
0,0,0,463300,0,0,,
0,0,0,461942,0,0,,
0,0,0,416366,0,0,,
0,0,0,423030,0,0,,
0,0,0,433911,0,0,,
0,0,0,421824,0,0,,
0,0,0,421820,0,0,,
0,0,0,410254,0,0,,
0,0,0,423844,0,0,,
0,0,0,425091,0,0,,
0,0,0,413837,0,0,,
0,0,0,417271,0,0,,
0,0,0,419766,0,0,,
0,0,0,414242,0,0,,
0,0,0,411426,0,0,,
0,0,0,414860,0,0,,
0,0,0,412824,0,0,,
0,0,0,427352,0,0,,
0,0,0,411568,0,0,,
0,0,0,414689,0,0,,
0,0,0,427289,0,0,,
0,0,0,453379,0,0,,
0,0,0,452802,0,0,,
0,0,0,445247,0,0,,
0,0,0,508993,0,0,,
0,0,0,575759,0,0,,
0,0,0,477943,0,0,,
0,0,0,453721,0,0,,
0,0,0,460800,0,0,,
0,0,0,463505,0,0,,
0,0,0,472720,0,0,,
0,0,0,458133,0,0,,
0,0,0,450317,0,0,,
0,0,0,454167,0,0,,
0,0,0,445206,0,0,,
0,0,0,456140,0,0,,
0,0,0,444677,0,0,,
0,0,0,446601,0,0,,
0,0,0,465347,0,0,,
0,0,0,452479,0,0,,
0,0,0,460808,0,0,,
0,0,0,567835,0,0,,
0,0,0,437572,0,0,,
0,0,0,430329,0,0,,
0,0,0,422096,0,0,,
0,0,0,411206,0,0,,
0,0,0,408078,0,0,,
0,0,0,416616,0,0,,
0,0,0,428279,0,0,,
0,0,0,419056,0,0,,
0,0,0,420302,0,0,,
0,0,0,430663,0,0,,
0,0,0,415295,0,0,,
0,0,0,420500,0,0,,
0,0,0,412111,0,0,,
0,0,0,425180,0,0,,
0,0,0,415072,0,0,,
0,0,0,419027,0,0,,
0,0,0,410741,0,0,,
0,0,0,419905,0,0,,
0,0,0,414797,0,0,,
0,0,0,422762,0,0,,
0,0,0,408800,0,0,,
0,0,0,414578,0,0,,
0,0,0,418376,0,0,,
0,0,0,409413,0,0,,
0,0,0,410295,0,0,,
0,0,0,429042,0,0,,
0,0,0,425184,0,0,,
0,0,0,423982,0,0,,
0,0,0,408770,0,0,,
0,0,0,414183,0,0,,
0,0,0,419284,0,0,,
0,0,0,422665,0,0,,
0,0,0,408547,0,0,,
0,0,0,421981,0,0,,
0,0,0,408280,0,0,,
0,0,0,411296,0,0,,
0,0,0,417022,0,0,,
0,0,0,454161,0,0,,
0,0,0,452879,0,0,,
0,0,0,461638,0,0,,
0,0,0,432272,0,0,,
0,0,0,587383,0,0,,
0,0,0,484633,0,0,,
0,0,0,454017,0,0,,
0,0,0,449234,0,0,,
0,0,0,463357,0,0,,
0,0,0,452116,0,0,,
0,0,0,448896,0,0,,
0,0,0,456561,0,0,,
0,0,0,439070,0,0,,
0,0,0,439339,0,0,,
0,0,0,455858,0,0,,
0,0,0,447950,0,0,,
0,0,0,457542,0,0,,
0,0,0,438437,0,0,,
0,0,0,447769,0,0,,
0,0,0,459131,0,0,,
0,0,0,543775,0,0,,
0,0,0,454513,0,0,,
0,0,0,410877,0,0,,
0,0,0,410834,0,0,,
0,0,0,423551,0,0,,
0,0,0,406945,0,0,,
0,0,0,414141,0,0,,
0,0,0,409931,0,0,,
0,0,0,419419,0,0,,
0,0,0,410834,0,0,,
0,0,0,416155,0,0,,
0,0,0,415695,0,0,,
0,0,0,419766,0,0,,
0,0,0,409098,0,0,,
0,0,0,416815,0,0,,
0,0,0,428438,0,0,,
0,0,0,417249,0,0,,
0,0,0,431060,0,0,,
0,0,0,412996,0,0,,
0,0,0,422276,0,0,,
0,0,0,423535,0,0,,
0,0,0,428804,0,0,,
0,0,0,469801,0,0,,
0,0,0,413144,0,0,,
0,0,0,437736,0,0,,
0,0,0,415870,0,0,,
0,0,0,417337,0,0,,
0,0,0,425939,0,0,,
0,0,0,429125,0,0,,
0,0,0,421374,0,0,,
0,0,0,423205,0,0,,
0,0,0,414099,0,0,,
0,0,0,415984,0,0,,
0,0,0,419585,0,0,,
0,0,0,423605,0,0,,
0,0,0,425020,0,0,,
0,0,0,423206,0,0,,
0,0,0,408683,0,0,,
0,0,0,410202,0,0,,
0,0,0,427347,0,0,,
0,0,0,428501,0,0,,
0,0,0,419604,0,0,,
0,0,0,417008,0,0,,
0,0,0,419412,0,0,,
0,0,0,415516,0,0,,
0,0,0,412711,0,0,,
0,0,0,423449,0,0,,
0,0,0,422104,0,0,,
0,0,0,424509,0,0,,
0,0,0,409361,0,0,,
0,0,0,409734,0,0,,
0,0,0,418285,0,0,,
0,0,0,427877,0,0,,
0,0,0,413614,0,0,,
0,0,0,424093,0,0,,
0,0,0,412018,0,0,,
0,0,0,411818,0,0,,
0,0,0,413962,0,0,,
0,0,0,418085,0,0,,
0,0,0,423876,0,0,,
0,0,0,421333,0,0,,
0,0,0,406289,0,0,,
0,0,0,411038,0,0,,
0,0,0,419640,0,0,,
0,0,0,419076,0,0,,
0,0,0,416376,0,0,,
0,0,0,421437,0,0,,
0,0,0,412800,0,0,,
0,0,0,415205,0,0,,
0,0,0,429224,0,0,,
0,0,0,412774,0,0,,
0,0,0,427783,0,0,,
0,0,0,408260,0,0,,
0,0,0,410248,0,0,,
0,0,0,416246,0,0,,
0,0,0,421152,0,0,,
0,0,0,417097,0,0,,
0,0,0,422106,0,0,,
0,0,0,422011,0,0,,
0,0,0,482491,0,0,,
0,0,0,463599,0,0,,
0,0,0,449653,0,0,,
0,0,0,504198,0,0,,
0,0,0,562545,0,0,,
0,0,0,436622,0,0,,
0,0,0,447520,0,0,,
0,0,0,468887,0,0,,
0,0,0,483797,0,0,,
0,0,0,463290,0,0,,
0,0,0,474710,0,0,,
0,0,0,442952,0,0,,
0,0,0,439789,0,0,,
0,0,0,447458,0,0,,
0,0,0,442003,0,0,,
