Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns),,,,
0,0,0,543904,0,0,,,,
0,0,0,432190,0,0,,,,439607.7401
0,0,0,444589,0,0,,,,
0,0,0,446936,0,0,,,,
0,0,0,418867,0,0,,,,
0,0,0,424235,0,0,,,,
0,0,0,424344,0,0,,,,
0,0,0,419191,0,0,,,,
0,0,0,429247,0,0,,,,
0,0,0,428885,0,0,,,,
0,0,0,419983,0,0,,,,
0,0,0,421029,0,0,,,,
0,0,0,417022,0,0,,,,
0,0,0,416816,0,0,,,,
0,0,0,419372,0,0,,,,
0,0,0,425313,0,0,,,,
0,0,0,415057,0,0,,,,
0,0,0,414957,0,0,,,,
0,0,0,413919,0,0,,,,
0,0,0,414548,0,0,,,,
0,0,0,437154,0,0,,,,
0,0,0,432731,0,0,,,,
0,0,0,432735,0,0,,,,
0,0,0,412166,0,0,,,,
0,0,0,421753,0,0,,,,
0,0,0,419152,0,0,,,,
0,0,0,428218,0,0,,,,
0,0,0,428431,0,0,,,,
0,0,0,425987,0,0,,,,
0,0,0,421406,0,0,,,,
0,0,0,408441,0,0,,,,
0,0,0,413080,0,0,,,,
0,0,0,426522,0,0,,,,
0,0,0,434130,0,0,,,,
0,0,0,409342,0,0,,,,
0,0,0,409762,0,0,,,,
0,0,0,410339,0,0,,,,
0,0,0,422582,0,0,,,,
0,0,0,423158,0,0,,,,
0,0,0,426078,0,0,,,,
0,0,0,423790,0,0,,,,
0,0,0,490460,0,0,,,,
0,0,0,423902,0,0,,,,
0,0,0,464843,0,0,,,,
0,0,0,457034,0,0,,,,
0,0,0,433704,0,0,,,,
0,0,0,509541,0,0,,,,
0,0,0,478035,0,0,,,,
0,0,0,481059,0,0,,,,
0,0,0,447730,0,0,,,,
0,0,0,445702,0,0,,,,
0,0,0,460914,0,0,,,,
0,0,0,480712,0,0,,,,
0,0,0,485722,0,0,,,,
0,0,0,481888,0,0,,,,
0,0,0,499761,0,0,,,,
0,0,0,464248,0,0,,,,
0,0,0,455455,0,0,,,,
0,0,0,466454,0,0,,,,
0,0,0,465055,0,0,,,,
0,0,0,453918,0,0,,,,
0,0,0,499969,0,0,,,,
0,0,0,566800,0,0,,,,
0,0,0,545559,0,0,,,,
0,0,0,605671,0,0,,,,
0,0,0,465160,0,0,,,,
0,0,0,455585,0,0,,,,
0,0,0,461479,0,0,,,,
0,0,0,438988,0,0,,,,
0,0,0,435871,0,0,,,,
0,0,0,442546,0,0,,,,
0,0,0,443024,0,0,,,,
0,0,0,447251,0,0,,,,
0,0,0,459760,0,0,,,,
0,0,0,508935,0,0,,,,
0,0,0,489673,0,0,,,,
