Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns),,
0,0,0,609428,0,0,,465089.0359
0,0,0,454438,0,0,,
0,0,0,441688,0,0,,
0,0,0,431906,0,0,,
0,0,0,432749,0,0,,
0,0,0,449582,0,0,,
0,0,0,440686,0,0,,
0,0,0,440228,0,0,,
0,0,0,426435,0,0,,
0,0,0,427591,0,0,,
0,0,0,437809,0,0,,
0,0,0,451257,0,0,,
0,0,0,437048,0,0,,
0,0,0,427631,0,0,,
0,0,0,421808,0,0,,
0,0,0,439422,0,0,,
0,0,0,444171,0,0,,
0,0,0,439963,0,0,,
0,0,0,421640,0,0,,
0,0,0,434566,0,0,,
0,0,0,431138,0,0,,
0,0,0,444377,0,0,,
0,0,0,453659,0,0,,
0,0,0,435127,0,0,,
0,0,0,432480,0,0,,
0,0,0,551917,0,0,,
0,0,0,488490,0,0,,
0,0,0,452198,0,0,,
0,0,0,450610,0,0,,
0,0,0,497559,0,0,,
0,0,0,463105,0,0,,
0,0,0,443128,0,0,,
0,0,0,533412,0,0,,
0,0,0,518645,0,0,,
0,0,0,502315,0,0,,
0,0,0,486871,0,0,,
0,0,0,504551,0,0,,
0,0,0,488221,0,0,,
0,0,0,501058,0,0,,
0,0,0,508061,0,0,,
0,0,0,505012,0,0,,
0,0,0,499047,0,0,,
0,0,0,488968,0,0,,
0,0,0,502897,0,0,,
0,0,0,484744,0,0,,
0,0,0,507320,0,0,,
0,0,0,592865,0,0,,
0,0,0,506901,0,0,,
0,0,0,499165,0,0,,
0,0,0,496168,0,0,,
0,0,0,443171,0,0,,
0,0,0,432309,0,0,,
0,0,0,423479,0,0,,
0,0,0,421420,0,0,,
0,0,0,431027,0,0,,
0,0,0,448760,0,0,,
0,0,0,425034,0,0,,
0,0,0,422037,0,0,,
0,0,0,426019,0,0,,
0,0,0,431095,0,0,,
0,0,0,444765,0,0,,
0,0,0,437757,0,0,,
0,0,0,426427,0,0,,
0,0,0,430409,0,0,,
0,0,0,434392,0,0,,
0,0,0,439415,0,0,,
0,0,0,433190,0,0,,
0,0,0,430765,0,0,,
0,0,0,428549,0,0,,
0,0,0,428156,0,0,,
0,0,0,433441,0,0,,
0,0,0,447163,0,0,,
0,0,0,428488,0,0,,
0,0,0,423773,0,0,,
0,0,0,427234,0,0,,
0,0,0,493820,0,0,,
0,0,0,449053,0,0,,
0,0,0,439077,0,0,,
0,0,0,431653,0,0,,
0,0,0,428604,0,0,,
0,0,0,443472,0,0,,
0,0,0,455891,0,0,,
0,0,0,430394,0,0,,
0,0,0,486512,0,0,,
0,0,0,446119,0,0,,
0,0,0,438851,0,0,,
0,0,0,455438,0,0,,
0,0,0,450826,0,0,,
0,0,0,428247,0,0,,
0,0,0,423010,0,0,,
0,0,0,450117,0,0,,
0,0,0,446130,0,0,,
0,0,0,449644,0,0,,
0,0,0,493366,0,0,,
0,0,0,467505,0,0,,
0,0,0,468518,0,0,,
0,0,0,559948,0,0,,
0,0,0,536535,0,0,,
0,0,0,559684,0,0,,
0,0,0,511375,0,0,,
0,0,0,501921,0,0,,
0,0,0,506424,0,0,,
0,0,0,517386,0,0,,
0,0,0,491576,0,0,,
0,0,0,483736,0,0,,
0,0,0,505687,0,0,,
0,0,0,501128,0,0,,
0,0,0,500318,0,0,,
0,0,0,493208,0,0,,
0,0,0,486096,0,0,,
0,0,0,500600,0,0,,
0,0,0,554686,0,0,,
0,0,0,500023,0,0,,
0,0,0,493485,0,0,,
0,0,0,543978,0,0,,
0,0,0,523533,0,0,,
