Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns),,,
0,0,0,540637,0,0,,,436658.0159
0,0,0,426059,0,0,,,
0,0,0,417158,0,0,,,
0,0,0,420652,0,0,,,
0,0,0,479875,0,0,,,
0,0,0,429411,0,0,,,
0,0,0,409989,0,0,,,
0,0,0,408379,0,0,,,
0,0,0,412863,0,0,,,
0,0,0,406253,0,0,,,
0,0,0,425425,0,0,,,
0,0,0,429440,0,0,,,
0,0,0,412309,0,0,,,
0,0,0,418981,0,0,,,
0,0,0,421797,0,0,,,
0,0,0,408834,0,0,,,
0,0,0,430089,0,0,,,
0,0,0,431604,0,0,,,
0,0,0,412702,0,0,,,
0,0,0,411456,0,0,,,
0,0,0,409691,0,0,,,
0,0,0,408342,0,0,,,
0,0,0,420481,0,0,,,
0,0,0,423038,0,0,,,
0,0,0,409606,0,0,,,
0,0,0,410443,0,0,,,
0,0,0,406282,0,0,,,
0,0,0,421130,0,0,,,
0,0,0,438426,0,0,,,
0,0,0,462285,0,0,,,
0,0,0,429321,0,0,,,
0,0,0,445681,0,0,,,
0,0,0,415477,0,0,,,
0,0,0,411107,0,0,,,
0,0,0,420486,0,0,,,
0,0,0,416324,0,0,,,
0,0,0,418048,0,0,,,
0,0,0,426386,0,0,,,
0,0,0,409776,0,0,,,
0,0,0,410249,0,0,,,
0,0,0,419734,0,0,,,
0,0,0,412811,0,0,,,
0,0,0,418754,0,0,,,
0,0,0,426623,0,0,,,
0,0,0,427565,0,0,,,
0,0,0,414445,0,0,,,
0,0,0,473615,0,0,,,
0,0,0,517998,0,0,,,
0,0,0,511806,0,0,,,
0,0,0,514443,0,0,,,
0,0,0,520680,0,0,,,
0,0,0,480979,0,0,,,
0,0,0,488777,0,0,,,
0,0,0,493857,0,0,,,
0,0,0,488427,0,0,,,
0,0,0,508100,0,0,,,
0,0,0,455483,0,0,,,
0,0,0,449271,0,0,,,
0,0,0,442175,0,0,,,
0,0,0,455182,0,0,,,
0,0,0,451575,0,0,,,
0,0,0,448228,0,0,,,
0,0,0,465455,0,0,,,
0,0,0,458670,0,0,,,
0,0,0,458761,0,0,,,
0,0,0,446196,0,0,,,
0,0,0,479724,0,0,,,
0,0,0,514866,0,0,,,
0,0,0,507405,0,0,,,
0,0,0,448746,0,0,,,
0,0,0,447378,0,0,,,
0,0,0,438355,0,0,,,
0,0,0,438341,0,0,,,
0,0,0,449369,0,0,,,
0,0,0,451075,0,0,,,
0,0,0,437728,0,0,,,
0,0,0,443652,0,0,,,
0,0,0,446243,0,0,,,
0,0,0,458261,0,0,,,
0,0,0,446581,0,0,,,
0,0,0,439484,0,0,,,
0,0,0,443950,0,0,,,
0,0,0,439561,0,0,,,
0,0,0,466839,0,0,,,
0,0,0,463909,0,0,,,
0,0,0,432021,0,0,,,
0,0,0,421539,0,0,,,
0,0,0,429599,0,0,,,
0,0,0,409168,0,0,,,
0,0,0,411603,0,0,,,
0,0,0,408360,0,0,,,
0,0,0,421264,0,0,,,
0,0,0,427814,0,0,,,
0,0,0,411185,0,0,,,
0,0,0,414141,0,0,,,
0,0,0,412148,0,0,,,
0,0,0,406249,0,0,,,
0,0,0,416861,0,0,,,
0,0,0,430233,0,0,,,
0,0,0,407511,0,0,,,
0,0,0,411665,0,0,,,
0,0,0,413526,0,0,,,
0,0,0,407106,0,0,,,
0,0,0,432041,0,0,,,
0,0,0,426767,0,0,,,
0,0,0,407744,0,0,,,
0,0,0,411376,0,0,,,
0,0,0,407717,0,0,,,
0,0,0,417912,0,0,,,
0,0,0,424513,0,0,,,
0,0,0,410958,0,0,,,
0,0,0,406622,0,0,,,
0,0,0,406140,0,0,,,
0,0,0,408419,0,0,,,
0,0,0,420592,0,0,,,
0,0,0,415214,0,0,,,
0,0,0,414732,0,0,,,
0,0,0,406230,0,0,,,
0,0,0,421164,0,0,,,
0,0,0,416620,0,0,,,
0,0,0,430773,0,0,,,
0,0,0,430708,0,0,,,
0,0,0,411006,0,0,,,
0,0,0,412868,0,0,,,
0,0,0,408220,0,0,,,
0,0,0,421956,0,0,,,
0,0,0,427985,0,0,,,
0,0,0,418127,0,0,,,
0,0,0,419416,0,0,,,
0,0,0,417319,0,0,,,
0,0,0,410639,0,0,,,
0,0,0,414585,0,0,,,
0,0,0,428685,0,0,,,
0,0,0,412891,0,0,,,
0,0,0,410013,0,0,,,
0,0,0,410260,0,0,,,
0,0,0,413632,0,0,,,
0,0,0,418150,0,0,,,
0,0,0,422928,0,0,,,
0,0,0,426769,0,0,,,
0,0,0,409100,0,0,,,
0,0,0,412837,0,0,,,
0,0,0,414802,0,0,,,
0,0,0,409112,0,0,,,
0,0,0,429202,0,0,,,
0,0,0,437314,0,0,,,
0,0,0,438916,0,0,,,
0,0,0,473638,0,0,,,
0,0,0,487919,0,0,,,
0,0,0,426680,0,0,,,
0,0,0,506326,0,0,,,
0,0,0,549566,0,0,,,
0,0,0,471191,0,0,,,
0,0,0,451410,0,0,,,
0,0,0,474963,0,0,,,
0,0,0,474400,0,0,,,
0,0,0,456130,0,0,,,
0,0,0,468223,0,0,,,
0,0,0,453651,0,0,,,
0,0,0,466005,0,0,,,
0,0,0,485182,0,0,,,
0,0,0,452953,0,0,,,
0,0,0,456922,0,0,,,
0,0,0,468391,0,0,,,
0,0,0,458142,0,0,,,
0,0,0,448465,0,0,,,
0,0,0,472903,0,0,,,
0,0,0,469632,0,0,,,
0,0,0,486777,0,0,,,
0,0,0,418195,0,0,,,
0,0,0,421955,0,0,,,
0,0,0,408789,0,0,,,
0,0,0,407706,0,0,,,
0,0,0,405946,0,0,,,
0,0,0,411477,0,0,,,
0,0,0,445237,0,0,,,
0,0,0,417487,0,0,,,
0,0,0,409269,0,0,,,
0,0,0,419488,0,0,,,
0,0,0,429082,0,0,,,
0,0,0,411019,0,0,,,
0,0,0,407072,0,0,,,
0,0,0,407395,0,0,,,
0,0,0,411520,0,0,,,
0,0,0,425801,0,0,,,
0,0,0,410135,0,0,,,
0,0,0,412333,0,0,,,
0,0,0,419167,0,0,,,
0,0,0,411573,0,0,,,
0,0,0,426896,0,0,,,
0,0,0,432375,0,0,,,
0,0,0,422698,0,0,,,
