Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns),,
0,0,0,612032,0,0,,420726.8122
0,0,0,426285,0,0,,
0,0,0,425120,0,0,,
0,0,0,411091,0,0,,
0,0,0,411334,0,0,,
0,0,0,410013,0,0,,
0,0,0,417702,0,0,,
0,0,0,423048,0,0,,
0,0,0,409489,0,0,,
0,0,0,405824,0,0,,
0,0,0,400649,0,0,,
0,0,0,419016,0,0,,
0,0,0,417643,0,0,,
0,0,0,411791,0,0,,
0,0,0,399637,0,0,,
0,0,0,410503,0,0,,
0,0,0,406630,0,0,,
0,0,0,426819,0,0,,
0,0,0,414144,0,0,,
0,0,0,404697,0,0,,
0,0,0,404990,0,0,,
0,0,0,401534,0,0,,
0,0,0,597764,0,0,,
0,0,0,475036,0,0,,
0,0,0,437102,0,0,,
0,0,0,404634,0,0,,
0,0,0,401802,0,0,,
0,0,0,411678,0,0,,
0,0,0,420826,0,0,,
0,0,0,407525,0,0,,
0,0,0,403235,0,0,,
0,0,0,408842,0,0,,
0,0,0,407156,0,0,,
0,0,0,420105,0,0,,
0,0,0,417846,0,0,,
0,0,0,409962,0,0,,
0,0,0,408797,0,0,,
0,0,0,399871,0,0,,
0,0,0,411259,0,0,,
0,0,0,419625,0,0,,
0,0,0,414450,0,0,,
0,0,0,405160,0,0,,
0,0,0,399307,0,0,,
0,0,0,410538,0,0,,
0,0,0,413435,0,0,,
0,0,0,407166,0,0,,
0,0,0,401001,0,0,,
0,0,0,405044,0,0,,
0,0,0,400754,0,0,,
0,0,0,405631,0,0,,
0,0,0,413164,0,0,,
0,0,0,403457,0,0,,
0,0,0,401510,0,0,,
0,0,0,405033,0,0,,
0,0,0,401055,0,0,,
0,0,0,404109,0,0,,
0,0,0,400444,0,0,,
0,0,0,413914,0,0,,
0,0,0,415771,0,0,,
0,0,0,414396,0,0,,
0,0,0,403648,0,0,,
0,0,0,401025,0,0,,
0,0,0,399704,0,0,,
0,0,0,412810,0,0,,
0,0,0,415916,0,0,,
0,0,0,409021,0,0,,
0,0,0,403168,0,0,,
0,0,0,400598,0,0,,
0,0,0,406828,0,0,,
0,0,0,408944,0,0,,
0,0,0,416164,0,0,,
0,0,0,405729,0,0,,
0,0,0,406856,0,0,,
0,0,0,399180,0,0,,
0,0,0,404629,0,0,,
0,0,0,410548,0,0,,
0,0,0,411258,0,0,,
0,0,0,419051,0,0,,
0,0,0,413771,0,0,,
0,0,0,401408,0,0,,
0,0,0,403681,0,0,,
0,0,0,411474,0,0,,
0,0,0,409268,0,0,,
0,0,0,412530,0,0,,
0,0,0,400218,0,0,,
0,0,0,400304,0,0,,
0,0,0,400961,0,0,,
0,0,0,414535,0,0,,
0,0,0,419829,0,0,,
0,0,0,406216,0,0,,
0,0,0,404686,0,0,,
0,0,0,406750,0,0,,
0,0,0,406887,0,0,,
0,0,0,419368,0,0,,
0,0,0,424713,0,0,,
0,0,0,405423,0,0,,
0,0,0,406758,0,0,,
0,0,0,410280,0,0,,
0,0,0,484897,0,0,,
0,0,0,411388,0,0,,
0,0,0,424650,0,0,,
0,0,0,403017,0,0,,
0,0,0,405133,0,0,,
0,0,0,402769,0,0,,
0,0,0,430095,0,0,,
0,0,0,420440,0,0,,
0,0,0,406878,0,0,,
0,0,0,407224,0,0,,
0,0,0,406945,0,0,,
0,0,0,416196,0,0,,
0,0,0,420030,0,0,,
0,0,0,412408,0,0,,
0,0,0,405513,0,0,,
0,0,0,401796,0,0,,
0,0,0,408117,0,0,,
0,0,0,419636,0,0,,
0,0,0,419750,0,0,,
0,0,0,404031,0,0,,
0,0,0,405812,0,0,,
0,0,0,406083,0,0,,
0,0,0,414011,0,0,,
0,0,0,425062,0,0,,
0,0,0,423041,0,0,,
0,0,0,408312,0,0,,
0,0,0,403687,0,0,,
0,0,0,410311,0,0,,
0,0,0,418863,0,0,,
0,0,0,416843,0,0,,
