Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns),,
0,0,0,586520,0,0,,434879.7759
0,0,0,468047,0,0,,
0,0,0,440514,0,0,,
0,0,0,442249,0,0,,
0,0,0,436226,0,0,,
0,0,0,437649,0,0,,
0,0,0,458083,0,0,,
0,0,0,436590,0,0,,
0,0,0,446868,0,0,,
0,0,0,434646,0,0,,
0,0,0,436226,0,0,,
0,0,0,449681,0,0,,
0,0,0,446886,0,0,,
0,0,0,439248,0,0,,
0,0,0,443380,0,0,,
0,0,0,436366,0,0,,
0,0,0,435914,0,0,,
0,0,0,443380,0,0,,
0,0,0,438345,0,0,,
0,0,0,452425,0,0,,
0,0,0,432235,0,0,,
0,0,0,431940,0,0,,
0,0,0,452425,0,0,,
0,0,0,440881,0,0,,
0,0,0,451732,0,0,,
0,0,0,432790,0,0,,
0,0,0,438278,0,0,,
0,0,0,447774,0,0,,
0,0,0,439093,0,0,,
0,0,0,439996,0,0,,
0,0,0,430326,0,0,,
0,0,0,437271,0,0,,
0,0,0,445621,0,0,,
0,0,0,442879,0,0,,
0,0,0,443573,0,0,,
0,0,0,447132,0,0,,
0,0,0,438296,0,0,,
0,0,0,434512,0,0,,
0,0,0,444477,0,0,,
0,0,0,438661,0,0,,
0,0,0,445014,0,0,,
0,0,0,431359,0,0,,
0,0,0,435729,0,0,,
0,0,0,449733,0,0,,
0,0,0,435871,0,0,,
0,0,0,445708,0,0,,
0,0,0,445335,0,0,,
0,0,0,436578,0,0,,
0,0,0,430789,0,0,,
0,0,0,448281,0,0,,
0,0,0,445514,0,0,,
0,0,0,434360,0,0,,
0,0,0,434405,0,0,,
0,0,0,429137,0,0,,
0,0,0,433556,0,0,,
0,0,0,444903,0,0,,
0,0,0,442448,0,0,,
0,0,0,431295,0,0,,
0,0,0,450246,0,0,,
0,0,0,439769,0,0,,
0,0,0,430074,0,0,,
0,0,0,438296,0,0,,
0,0,0,445059,0,0,,
0,0,0,427447,0,0,,
0,0,0,442909,0,0,,
0,0,0,428006,0,0,,
0,0,0,433831,0,0,,
0,0,0,494605,0,0,,
0,0,0,453140,0,0,,
0,0,0,431621,0,0,,
0,0,0,442864,0,0,,
0,0,0,438430,0,0,,
0,0,0,428318,0,0,,
0,0,0,442789,0,0,,
0,0,0,432730,0,0,,
0,0,0,443087,0,0,,
0,0,0,442975,0,0,,
0,0,0,427759,0,0,,
0,0,0,451606,0,0,,
0,0,0,434463,0,0,,
0,0,0,429092,0,0,,
0,0,0,439865,0,0,,
0,0,0,429597,0,0,,
0,0,0,433392,0,0,,
0,0,0,443332,0,0,,
0,0,0,434419,0,0,,
0,0,0,435817,0,0,,
0,0,0,444611,0,0,,
0,0,0,432365,0,0,,
0,0,0,431160,0,0,,
0,0,0,445423,0,0,,
0,0,0,432968,0,0,,
0,0,0,448585,0,0,,
0,0,0,430192,0,0,,
0,0,0,432059,0,0,,
0,0,0,441062,0,0,,
0,0,0,431524,0,0,,
0,0,0,433131,0,0,,
0,0,0,437029,0,0,,
0,0,0,431813,0,0,,
0,0,0,431702,0,0,,
0,0,0,444142,0,0,,
0,0,0,428198,0,0,,
0,0,0,438919,0,0,,
0,0,0,428807,0,0,,
0,0,0,430102,0,0,,
0,0,0,440719,0,0,,
0,0,0,429097,0,0,,
0,0,0,433726,0,0,,
0,0,0,430072,0,0,,
0,0,0,429752,0,0,,
0,0,0,440265,0,0,,
0,0,0,427810,0,0,,
0,0,0,447959,0,0,,
0,0,0,468524,0,0,,
0,0,0,443360,0,0,,
0,0,0,445280,0,0,,
0,0,0,434648,0,0,,
0,0,0,433390,0,0,,
0,0,0,449841,0,0,,
0,0,0,426448,0,0,,
0,0,0,443524,0,0,,
0,0,0,436433,0,0,,
0,0,0,434706,0,0,,
0,0,0,441210,0,0,,
0,0,0,432609,0,0,,
0,0,0,446403,0,0,,
0,0,0,440353,0,0,,
0,0,0,428940,0,0,,
0,0,0,447214,0,0,,
0,0,0,431426,0,0,,
0,0,0,443345,0,0,,
0,0,0,426097,0,0,,
0,0,0,434268,0,0,,
0,0,0,446187,0,0,,
0,0,0,436752,0,0,,
0,0,0,440755,0,0,,
0,0,0,431425,0,0,,
0,0,0,434907,0,0,,
0,0,0,443979,0,0,,
0,0,0,432474,0,0,,
0,0,0,443780,0,0,,
0,0,0,440192,0,0,,
0,0,0,426810,0,0,,
0,0,0,427805,0,0,,
0,0,0,440517,0,0,,
0,0,0,444793,0,0,,
0,0,0,433495,0,0,,
0,0,0,445583,0,0,,
0,0,0,433661,0,0,,
0,0,0,432884,0,0,,
0,0,0,440076,0,0,,
0,0,0,442997,0,0,,
0,0,0,437012,0,0,,
0,0,0,437121,0,0,,
0,0,0,424470,0,0,,
0,0,0,428537,0,0,,
0,0,0,440364,0,0,,
0,0,0,431566,0,0,,
0,0,0,438654,0,0,,
0,0,0,438919,0,0,,
0,0,0,435487,0,0,,
0,0,0,426950,0,0,,
0,0,0,440339,0,0,,
0,0,0,431333,0,0,,
0,0,0,449514,0,0,,
0,0,0,427020,0,0,,
0,0,0,428483,0,0,,
0,0,0,429581,0,0,,
0,0,0,444117,0,0,,
0,0,0,426308,0,0,,
0,0,0,439438,0,0,,
0,0,0,429755,0,0,,
0,0,0,443874,0,0,,
0,0,0,432942,0,0,,
0,0,0,438779,0,0,,
0,0,0,430606,0,0,,
0,0,0,443579,0,0,,
0,0,0,433636,0,0,,
0,0,0,430099,0,0,,
0,0,0,442395,0,0,,
0,0,0,427504,0,0,,
0,0,0,433811,0,0,,
0,0,0,425951,0,0,,
0,0,0,426112,0,0,,
0,0,0,437157,0,0,,
0,0,0,428725,0,0,,
0,0,0,440448,0,0,,
