Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns),,
0,0,0,585221,0,0,,
0,0,0,434011,0,0,,410133.8905
0,0,0,408947,0,0,,
0,0,0,408360,0,0,,
0,0,0,411368,0,0,,
0,0,0,405157,0,0,,
0,0,0,427644,0,0,,
0,0,0,416068,0,0,,
0,0,0,405639,0,0,,
0,0,0,398126,0,0,,
0,0,0,402852,0,0,,
0,0,0,402995,0,0,,
0,0,0,420273,0,0,,
0,0,0,418646,0,0,,
0,0,0,406810,0,0,,
0,0,0,402005,0,0,,
0,0,0,413658,0,0,,
0,0,0,405729,0,0,,
0,0,0,414101,0,0,,
0,0,0,413464,0,0,,
0,0,0,399856,0,0,,
0,0,0,395729,0,0,,
0,0,0,403424,0,0,,
0,0,0,415494,0,0,,
0,0,0,481314,0,0,,
0,0,0,409322,0,0,,
0,0,0,416549,0,0,,
0,0,0,406015,0,0,,
0,0,0,403918,0,0,,
0,0,0,410729,0,0,,
0,0,0,418111,0,0,,
0,0,0,405389,0,0,,
0,0,0,400012,0,0,,
0,0,0,401197,0,0,,
0,0,0,415975,0,0,,
0,0,0,410962,0,0,,
0,0,0,407616,0,0,,
0,0,0,397654,0,0,,
0,0,0,718109,0,0,,
0,0,0,482107,0,0,,
0,0,0,414698,0,0,,
0,0,0,400884,0,0,,
0,0,0,399828,0,0,,
0,0,0,403721,0,0,,
0,0,0,399386,0,0,,
0,0,0,404893,0,0,,
0,0,0,401651,0,0,,
0,0,0,400857,0,0,,
0,0,0,479385,0,0,,
0,0,0,410935,0,0,,
0,0,0,415557,0,0,,
0,0,0,411586,0,0,,
0,0,0,402093,0,0,,
0,0,0,409216,0,0,,
0,0,0,436442,0,0,,
0,0,0,400075,0,0,,
0,0,0,408030,0,0,,
0,0,0,401640,0,0,,
0,0,0,413012,0,0,,
0,0,0,417195,0,0,,
0,0,0,412473,0,0,,
0,0,0,396606,0,0,,
0,0,0,400373,0,0,,
0,0,0,401276,0,0,,
0,0,0,405616,0,0,,
0,0,0,409853,0,0,,
0,0,0,412630,0,0,,
0,0,0,401242,0,0,,
0,0,0,402718,0,0,,
0,0,0,399194,0,0,,
0,0,0,408899,0,0,,
0,0,0,516051,0,0,,
0,0,0,412683,0,0,,
0,0,0,398586,0,0,,
0,0,0,394958,0,0,,
0,0,0,400288,0,0,,
0,0,0,413014,0,0,,
0,0,0,417302,0,0,,
0,0,0,401435,0,0,,
0,0,0,399577,0,0,,
0,0,0,399490,0,0,,
0,0,0,413050,0,0,,
0,0,0,412182,0,0,,
0,0,0,409647,0,0,,
0,0,0,396175,0,0,,
0,0,0,403224,0,0,,
0,0,0,399283,0,0,,
0,0,0,408207,0,0,,
0,0,0,411714,0,0,,
0,0,0,420534,0,0,,
0,0,0,403208,0,0,,
0,0,0,403849,0,0,,
0,0,0,401940,0,0,,
0,0,0,416125,0,0,,
0,0,0,444735,0,0,,
0,0,0,399701,0,0,,
0,0,0,400552,0,0,,
0,0,0,415465,0,0,,
0,0,0,412462,0,0,,
0,0,0,478938,0,0,,
0,0,0,405153,0,0,,
0,0,0,405744,0,0,,
0,0,0,403261,0,0,,
0,0,0,401768,0,0,,
0,0,0,410328,0,0,,
0,0,0,413782,0,0,,
0,0,0,401508,0,0,,
0,0,0,406943,0,0,,
0,0,0,464929,0,0,,
0,0,0,518071,0,0,,
0,0,0,520432,0,0,,
0,0,0,523314,0,0,,
0,0,0,521665,0,0,,
0,0,0,517984,0,0,,
0,0,0,508939,0,0,,
0,0,0,506040,0,0,,
0,0,0,497673,0,0,,
0,0,0,465450,0,0,,
0,0,0,529843,0,0,,
0,0,0,503298,0,0,,
0,0,0,510451,0,0,,
0,0,0,522083,0,0,,
0,0,0,542361,0,0,,
0,0,0,487170,0,0,,
0,0,0,403230,0,0,,
0,0,0,416477,0,0,,
0,0,0,403681,0,0,,
0,0,0,400000,0,0,,
0,0,0,403612,0,0,,
0,0,0,404515,0,0,,
0,0,0,412917,0,0,,
0,0,0,411008,0,0,,
0,0,0,398839,0,0,,
0,0,0,405158,0,0,,
0,0,0,450332,0,0,,
0,0,0,408057,0,0,,
0,0,0,396409,0,0,,
0,0,0,402468,0,0,,
0,0,0,406444,0,0,,
0,0,0,409951,0,0,,
0,0,0,406895,0,0,,
0,0,0,404205,0,0,,
0,0,0,397816,0,0,,
0,0,0,411843,0,0,,
0,0,0,414569,0,0,,
0,0,0,401149,0,0,,
0,0,0,396740,0,0,,
0,0,0,492903,0,0,,
0,0,0,414952,0,0,,
0,0,0,413303,0,0,,
0,0,0,399310,0,0,,
0,0,0,406202,0,0,,
0,0,0,403876,0,0,,
0,0,0,408582,0,0,,
0,0,0,411932,0,0,,
0,0,0,422784,0,0,,
0,0,0,397865,0,0,,
0,0,0,396378,0,0,,
0,0,0,397080,0,0,,
0,0,0,396583,0,0,,
0,0,0,405826,0,0,,
0,0,0,409339,0,0,,
0,0,0,408582,0,0,,
0,0,0,397251,0,0,,
0,0,0,395714,0,0,,
0,0,0,399748,0,0,,
0,0,0,399615,0,0,,
0,0,0,409587,0,0,,
0,0,0,417529,0,0,,
0,0,0,400522,0,0,,
0,0,0,401378,0,0,,
0,0,0,398903,0,0,,
0,0,0,427000,0,0,,
0,0,0,473013,0,0,,
0,0,0,415330,0,0,,
0,0,0,392541,0,0,,
0,0,0,398763,0,0,,
0,0,0,404932,0,0,,
0,0,0,413603,0,0,,
0,0,0,414408,0,0,,
0,0,0,400787,0,0,,
0,0,0,397478,0,0,,
0,0,0,395574,0,0,,
0,0,0,395494,0,0,,
0,0,0,437289,0,0,,
0,0,0,417990,0,0,,
0,0,0,405723,0,0,,
0,0,0,401371,0,0,,
0,0,0,400406,0,0,,
0,0,0,402462,0,0,,
0,0,0,418058,0,0,,
0,0,0,423290,0,0,,
0,0,0,406648,0,0,,
0,0,0,401464,0,0,,
0,0,0,397113,0,0,,
0,0,0,415418,0,0,,
0,0,0,428151,0,0,,
0,0,0,457863,0,0,,
