Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns),,
0,0,0,558266,0,0,,
0,0,0,448097,0,0,,436895.6334
0,0,0,435896,0,0,,
0,0,0,439736,0,0,,
0,0,0,452848,0,0,,
0,0,0,462990,0,0,,
0,0,0,437768,0,0,,
0,0,0,433379,0,0,,
0,0,0,451282,0,0,,
0,0,0,457831,0,0,,
0,0,0,447349,0,0,,
0,0,0,446190,0,0,,
0,0,0,442999,0,0,,
0,0,0,443037,0,0,,
0,0,0,449690,0,0,,
0,0,0,447228,0,0,,
0,0,0,447527,0,0,,
0,0,0,441003,0,0,,
0,0,0,439583,0,0,,
0,0,0,441913,0,0,,
0,0,0,455702,0,0,,
0,0,0,450792,0,0,,
0,0,0,450101,0,0,,
0,0,0,507900,0,0,,
0,0,0,440438,0,0,,
0,0,0,442665,0,0,,
0,0,0,446141,0,0,,
0,0,0,451075,0,0,,
0,0,0,450905,0,0,,
0,0,0,436307,0,0,,
0,0,0,447648,0,0,,
0,0,0,442791,0,0,,
0,0,0,448559,0,0,,
0,0,0,450941,0,0,,
0,0,0,451551,0,0,,
0,0,0,450653,0,0,,
0,0,0,443712,0,0,,
0,0,0,437032,0,0,,
0,0,0,436861,0,0,,
0,0,0,455650,0,0,,
0,0,0,450168,0,0,,
0,0,0,450571,0,0,,
0,0,0,435349,0,0,,
0,0,0,445074,0,0,,
0,0,0,444541,0,0,,
0,0,0,444006,0,0,,
0,0,0,449565,0,0,,
0,0,0,457937,0,0,,
0,0,0,436517,0,0,,
0,0,0,436503,0,0,,
0,0,0,438000,0,0,,
0,0,0,447778,0,0,,
0,0,0,448233,0,0,,
0,0,0,442490,0,0,,
0,0,0,440706,0,0,,
0,0,0,440119,0,0,,
0,0,0,441095,0,0,,
0,0,0,450925,0,0,,
0,0,0,449713,0,0,,
0,0,0,450064,0,0,,
0,0,0,438801,0,0,,
0,0,0,440454,0,0,,
0,0,0,437680,0,0,,
0,0,0,452353,0,0,,
0,0,0,448173,0,0,,
0,0,0,436597,0,0,,
0,0,0,436375,0,0,,
0,0,0,437090,0,0,,
0,0,0,435619,0,0,,
0,0,0,445448,0,0,,
0,0,0,478924,0,0,,
0,0,0,461515,0,0,,
0,0,0,450147,0,0,,
0,0,0,451592,0,0,,
0,0,0,435954,0,0,,
0,0,0,437919,0,0,,
0,0,0,442541,0,0,,
0,0,0,451641,0,0,,
0,0,0,446992,0,0,,
0,0,0,436614,0,0,,
0,0,0,441132,0,0,,
0,0,0,435232,0,0,,
0,0,0,450896,0,0,,
0,0,0,452080,0,0,,
0,0,0,437594,0,0,,
0,0,0,435508,0,0,,
0,0,0,477636,0,0,,
0,0,0,450809,0,0,,
0,0,0,452938,0,0,,
0,0,0,445953,0,0,,
0,0,0,440688,0,0,,
0,0,0,439692,0,0,,
0,0,0,441562,0,0,,
0,0,0,455254,0,0,,
0,0,0,450508,0,0,,
0,0,0,442690,0,0,,
0,0,0,440393,0,0,,
0,0,0,437315,0,0,,
0,0,0,456007,0,0,,
0,0,0,452251,0,0,,
0,0,0,441829,0,0,,
0,0,0,434687,0,0,,
0,0,0,441556,0,0,,
0,0,0,455300,0,0,,
0,0,0,457639,0,0,,
0,0,0,435967,0,0,,
0,0,0,439763,0,0,,
0,0,0,441164,0,0,,
0,0,0,459074,0,0,,
0,0,0,450996,0,0,,
0,0,0,440678,0,0,,
0,0,0,448797,0,0,,
0,0,0,444573,0,0,,
0,0,0,454411,0,0,,
0,0,0,456436,0,0,,
0,0,0,444348,0,0,,
0,0,0,445019,0,0,,
0,0,0,438138,0,0,,
0,0,0,446466,0,0,,
0,0,0,443491,0,0,,
0,0,0,442183,0,0,,
0,0,0,453845,0,0,,
0,0,0,459152,0,0,,
0,0,0,443416,0,0,,
0,0,0,437057,0,0,,
0,0,0,440749,0,0,,
0,0,0,442514,0,0,,
0,0,0,460477,0,0,,
0,0,0,449794,0,0,,
0,0,0,456976,0,0,,
0,0,0,438741,0,0,,
0,0,0,443215,0,0,,
0,0,0,438313,0,0,,
0,0,0,455704,0,0,,
0,0,0,451479,0,0,,
0,0,0,450015,0,0,,
0,0,0,438968,0,0,,
0,0,0,440629,0,0,,
0,0,0,442967,0,0,,
0,0,0,452492,0,0,,
0,0,0,449258,0,0,,
0,0,0,438314,0,0,,
0,0,0,440860,0,0,,
0,0,0,435855,0,0,,
0,0,0,438141,0,0,,
0,0,0,451365,0,0,,
0,0,0,458286,0,0,,
0,0,0,450051,0,0,,
0,0,0,438066,0,0,,
0,0,0,438529,0,0,,
0,0,0,446492,0,0,,
0,0,0,451747,0,0,,
0,0,0,455335,0,0,,
0,0,0,459913,0,0,,
0,0,0,448865,0,0,,
0,0,0,438286,0,0,,
0,0,0,441406,0,0,,
0,0,0,450671,0,0,,
0,0,0,449207,0,0,,
0,0,0,440973,0,0,,
0,0,0,440654,0,0,,
0,0,0,440075,0,0,,
0,0,0,446112,0,0,,
0,0,0,446887,0,0,,
0,0,0,455058,0,0,,
0,0,0,438022,0,0,,
0,0,0,437704,0,0,,
0,0,0,439781,0,0,,
0,0,0,450244,0,0,,
0,0,0,452166,0,0,,
0,0,0,450754,0,0,,
0,0,0,454706,0,0,,
0,0,0,510533,0,0,,
0,0,0,454539,0,0,,
0,0,0,458230,0,0,,
0,0,0,453537,0,0,,
0,0,0,445199,0,0,,
0,0,0,440297,0,0,,
0,0,0,440656,0,0,,
0,0,0,454556,0,0,,
0,0,0,455228,0,0,,
0,0,0,439545,0,0,,
0,0,0,444071,0,0,,
0,0,0,446662,0,0,,
0,0,0,464482,0,0,,
0,0,0,462264,0,0,,
0,0,0,460982,0,0,,
0,0,0,443553,0,0,,
0,0,0,440918,0,0,,
0,0,0,456980,0,0,,
0,0,0,459396,0,0,,
0,0,0,442802,0,0,,
0,0,0,453239,0,0,,
0,0,0,444405,0,0,,
0,0,0,452604,0,0,,
0,0,0,458040,0,0,,
0,0,0,439050,0,0,,
0,0,0,447456,0,0,,
0,0,0,449768,0,0,,
0,0,0,452861,0,0,,
0,0,0,453195,0,0,,
0,0,0,457589,0,0,,
0,0,0,447141,0,0,,
0,0,0,445496,0,0,,
0,0,0,445464,0,0,,
0,0,0,456473,0,0,,
0,0,0,456755,0,0,,
0,0,0,443650,0,0,,
0,0,0,439504,0,0,,
0,0,0,457128,0,0,,
0,0,0,453711,0,0,,
0,0,0,453732,0,0,,
0,0,0,452346,0,0,,
0,0,0,440283,0,0,,
0,0,0,443168,0,0,,
0,0,0,441158,0,0,,
0,0,0,441959,0,0,,
0,0,0,457969,0,0,,
0,0,0,458667,0,0,,
0,0,0,492437,0,0,,
0,0,0,454541,0,0,,
0,0,0,443729,0,0,,
0,0,0,445884,0,0,,
0,0,0,440124,0,0,,
0,0,0,445248,0,0,,
0,0,0,463081,0,0,,
0,0,0,458986,0,0,,
0,0,0,453069,0,0,,
0,0,0,444809,0,0,,
0,0,0,444360,0,0,,
