Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns),,,
0,0,0,611979,0,0,,,437857.6254
0,0,0,470503,0,0,,,
0,0,0,444652,0,0,,,
0,0,0,442757,0,0,,,
0,0,0,439665,0,0,,,
0,0,0,444021,0,0,,,
0,0,0,437075,0,0,,,
0,0,0,466066,0,0,,,
0,0,0,441203,0,0,,,
0,0,0,445559,0,0,,,
0,0,0,441373,0,0,,,
0,0,0,440104,0,0,,,
0,0,0,440449,0,0,,,
0,0,0,441525,0,0,,,
0,0,0,449682,0,0,,,
0,0,0,463517,0,0,,,
0,0,0,441883,0,0,,,
0,0,0,435198,0,0,,,
0,0,0,436532,0,0,,,
0,0,0,439431,0,0,,,
0,0,0,446182,0,0,,,
0,0,0,458142,0,0,,,
0,0,0,437602,0,0,,,
0,0,0,449770,0,0,,,
0,0,0,442720,0,0,,,
0,0,1,0,0,0,,,
0,0,0,436067,0,0,,,
0,0,0,464173,0,0,,,
0,0,0,450404,0,0,,,
0,0,0,435905,0,0,,,
0,0,0,434220,0,0,,,
0,0,0,451128,0,0,,,
0,0,0,434807,0,0,,,
0,0,0,449110,0,0,,,
0,0,0,456539,0,0,,,
0,0,0,442405,0,0,,,
0,0,0,438063,0,0,,,
0,0,0,434764,0,0,,,
0,0,0,433599,0,0,,,
0,0,0,451912,0,0,,,
0,0,0,436425,0,0,,,
0,0,0,433436,0,0,,,
0,0,0,435344,0,0,,,
0,0,0,445377,0,0,,,
0,0,0,435723,0,0,,,
0,0,0,455182,0,0,,,
0,0,0,435581,0,0,,,
0,0,0,443946,0,0,,,
0,0,0,440542,0,0,,,
0,0,0,441206,0,0,,,
0,0,0,437813,0,0,,,
0,0,0,434783,0,0,,,
0,0,0,436338,0,0,,,
0,0,0,439038,0,0,,,
0,0,0,456738,0,0,,,
0,0,0,437720,0,0,,,
0,0,0,434638,0,0,,,
0,0,0,436350,0,0,,,
0,0,0,434049,0,0,,,
0,0,0,437687,0,0,,,
0,0,0,451221,0,0,,,
0,0,0,442567,0,0,,,
0,0,0,435059,0,0,,,
0,0,0,434999,0,0,,,
0,0,0,439626,0,0,,,
0,0,0,441649,0,0,,,
0,0,0,453360,0,0,,,
0,0,0,433248,0,0,,,
0,0,0,434959,0,0,,,
0,0,0,433440,0,0,,,
0,0,0,440775,0,0,,,
0,0,0,444882,0,0,,,
0,0,0,457269,0,0,,,
0,0,0,446481,0,0,,,
0,0,0,445535,0,0,,,
0,0,0,438600,0,0,,,
0,0,0,437081,0,0,,,
0,0,0,456187,0,0,,,
0,0,0,443315,0,0,,,
0,0,0,436067,0,0,,,
0,0,0,439288,0,0,,,
0,0,0,438446,0,0,,,
0,0,0,444480,0,0,,,
0,0,0,458222,0,0,,,
0,0,0,444516,0,0,,,
0,0,0,445081,0,0,,,
0,0,0,512208,0,0,,,
0,0,0,443086,0,0,,,
0,0,0,440577,0,0,,,
0,0,0,435153,0,0,,,
0,0,0,440249,0,0,,,
0,0,0,450085,0,0,,,
0,0,0,459452,0,0,,,
0,0,0,435329,0,0,,,
0,0,0,447560,0,0,,,
0,0,0,435468,0,0,,,
0,0,0,439106,0,0,,,
0,0,0,456390,0,0,,,
0,0,0,439923,0,0,,,
0,0,0,438821,0,0,,,
0,0,0,446939,0,0,,,
0,0,0,435420,0,0,,,
0,0,0,447027,0,0,,,
0,0,0,463373,0,0,,,
0,0,0,451281,0,0,,,
0,0,0,437002,0,0,,,
0,0,0,440640,0,0,,,
0,0,0,449642,0,0,,,
0,0,0,434218,0,0,,,
0,0,0,437439,0,0,,,
0,0,0,461025,0,0,,,
0,0,0,445495,0,0,,,
0,0,0,435435,0,0,,,
0,0,0,437094,0,0,,,
0,0,0,436044,0,0,,,
0,0,0,444056,0,0,,,
0,0,0,459309,0,0,,,
0,0,0,440499,0,0,,,
0,0,0,440647,0,0,,,
0,0,0,441889,0,0,,,
0,0,0,435891,0,0,,,
0,0,0,438071,0,0,,,
0,0,0,464313,0,0,,,
0,0,0,452950,0,0,,,
0,0,0,442057,0,0,,,
0,0,0,596214,0,0,,,
0,0,0,466103,0,0,,,
0,0,0,436251,0,0,,,
0,0,0,434889,0,0,,,
0,0,0,435454,0,0,,,
0,0,0,461800,0,0,,,
0,0,0,457834,0,0,,,
0,0,0,499649,0,0,,,
0,0,0,452922,0,0,,,
0,0,0,442185,0,0,,,
0,0,0,461604,0,0,,,
0,0,0,439617,0,0,,,
0,0,0,434920,0,0,,,
0,0,0,440850,0,0,,,
0,0,0,458602,0,0,,,
0,0,0,441875,0,0,,,
0,0,0,459627,0,0,,,
0,0,0,449099,0,0,,,
0,0,0,441591,0,0,,,
0,0,0,436375,0,0,,,
0,0,0,435898,0,0,,,
0,0,0,447973,0,0,,,
0,0,0,471454,0,0,,,
0,0,0,468164,0,0,,,
0,0,0,437925,0,0,,,
0,0,0,437587,0,0,,,
0,0,0,438861,0,0,,,
0,0,0,446801,0,0,,,
0,0,0,454326,0,0,,,
0,0,0,438205,0,0,,,
0,0,0,434843,0,0,,,
0,0,0,437784,0,0,,,
0,0,0,436975,0,0,,,
0,0,0,438249,0,0,,,
0,0,0,462283,0,0,,,
0,0,0,439600,0,0,,,
0,0,0,443269,0,0,,,
0,0,0,442460,0,0,,,
0,0,0,444047,0,0,,,
0,0,0,444071,0,0,,,
0,0,0,458418,0,0,,,
0,0,0,442661,0,0,,,
0,0,0,443153,0,0,,,
0,0,0,444480,0,0,,,
0,0,0,440546,0,0,,,
0,0,0,444215,0,0,,,
0,0,0,468511,0,0,,,
0,0,0,441972,0,0,,,
0,0,0,448194,0,0,,,
0,0,0,442125,0,0,,,
0,0,0,438608,0,0,,,
0,0,0,457017,0,0,,,
0,0,0,447093,0,0,,,
0,0,0,439252,0,0,,,
0,0,0,442402,0,0,,,
0,0,0,436020,0,0,,,
0,0,0,449221,0,0,,,
0,0,0,464088,0,0,,,
0,0,0,445155,0,0,,,
0,0,0,435908,0,0,,,
0,0,0,441557,0,0,,,
0,0,0,442570,0,0,,,
0,0,0,458897,0,0,,,
0,0,0,437046,0,0,,,
0,0,0,441758,0,0,,,
0,0,0,444698,0,0,,,
0,0,0,450869,0,0,,,
0,0,0,442403,0,0,,,
0,0,0,444615,0,0,,,
0,0,0,448702,0,0,,,
0,0,0,441747,0,0,,,
0,0,0,451718,0,0,,,
0,0,0,465336,0,0,,,
0,0,0,441767,0,0,,,
0,0,0,436687,0,0,,,
0,0,0,435930,0,0,,,
0,0,0,442412,0,0,,,
0,0,0,456291,0,0,,,
0,0,0,467669,0,0,,,
0,0,0,437173,0,0,,,
0,0,0,443187,0,0,,,
0,0,0,442690,0,0,,,
0,0,0,439588,0,0,,,
0,0,0,446748,0,0,,,
0,0,0,462032,0,0,,,
0,0,0,441953,0,0,,,
0,0,0,442134,0,0,,,
0,0,0,442314,0,0,,,
0,0,0,447755,0,0,,,
0,0,0,452518,0,0,,,
0,0,0,448793,0,0,,,
0,0,0,439546,0,0,,,
0,0,0,440300,0,0,,,
0,0,0,436886,0,0,,,
0,0,0,447692,0,0,,,
0,0,0,457924,0,0,,,
0,0,0,450396,0,0,,,
0,0,0,443284,0,0,,,
0,0,0,440757,0,0,,,
0,0,0,436875,0,0,,,
0,0,0,459816,0,0,,,
0,0,0,435725,0,0,,,
0,0,0,435437,0,0,,,
0,0,0,436711,0,0,,,
0,0,0,443401,0,0,,,
0,0,0,439572,0,0,,,
0,0,0,457981,0,0,,,
0,0,0,465974,0,0,,,
0,0,0,445269,0,0,,,
