
Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns)
0, 0, 0, 634881, 0, 0
0, 0, 0, 457232, 0, 0
0, 0, 0, 469739, 0, 0
0, 0, 0, 476203, 0, 0
0, 0, 0, 449438, 0, 0
0, 0, 0, 445539, 0, 0
0, 0, 0, 443878, 0, 0
0, 0, 0, 451644, 0, 0
0, 0, 0, 458369, 0, 0
0, 0, 0, 459782, 0, 0
0, 0, 0, 449996, 0, 0
0, 0, 0, 451721, 0, 0
0, 0, 0, 451103, 0, 0
0, 0, 0, 453765, 0, 0
0, 0, 0, 459136, 0, 0
0, 0, 0, 457943, 0, 0
0, 0, 0, 454616, 0, 0
0, 0, 0, 446601, 0, 0
0, 0, 0, 453066, 0, 0
0, 0, 0, 449270, 0, 0
0, 0, 0, 455943, 0, 0
0, 0, 0, 452147, 0, 0
0, 0, 0, 440226, 0, 0
0, 0, 0, 445492, 0, 0
0, 0, 0, 446696, 0, 0
0, 0, 0, 443109, 0, 0
0, 0, 0, 460771, 0, 0
0, 0, 0, 453225, 0, 0
0, 0, 0, 446721, 0, 0
0, 0, 0, 450322, 0, 0
0, 0, 0, 542022, 0, 0
0, 0, 0, 457266, 0, 0
0, 0, 0, 458186, 0, 0
0, 0, 0, 464627, 0, 0
0, 0, 0, 457370, 0, 0
0, 0, 0, 447613, 0, 0
0, 0, 0, 450252, 0, 0
0, 0, 0, 451068, 0, 0
0, 0, 0, 444905, 0, 0
0, 0, 0, 455356, 0, 0
0, 0, 0, 477996, 0, 0
0, 0, 0, 443290, 0, 0
0, 0, 0, 440721, 0, 0
0, 0, 0, 440808, 0, 0
0, 0, 0, 444748, 0, 0
0, 0, 0, 461815, 0, 0
0, 0, 0, 457839, 0, 0
0, 0, 0, 441363, 0, 0
0, 0, 0, 441450, 0, 0
0, 0, 0, 453099, 0, 0
0, 0, 0, 447978, 0, 0
0, 0, 0, 463534, 0, 0
0, 0, 0, 475808, 0, 0
0, 0, 0, 451312, 0, 0
0, 0, 0, 447545, 0, 0
0, 0, 0, 447006, 0, 0
0, 0, 0, 446885, 0, 0
0, 0, 0, 470721, 0, 0
0, 0, 0, 471016, 0, 0
0, 0, 0, 457510, 0, 0
0, 0, 0, 450097, 0, 0
0, 0, 0, 448205, 0, 0
0, 0, 0, 453760, 0, 0
0, 0, 0, 465148, 0, 0
0, 0, 0, 446382, 0, 0
0, 0, 0, 447041, 0, 0
0, 0, 0, 442545, 0, 0
0, 0, 0, 448829, 0, 0
0, 0, 0, 458448, 0, 0
0, 0, 0, 452389, 0, 0
0, 0, 0, 458986, 0, 0
0, 0, 0, 458760, 0, 0
0, 0, 0, 449577, 0, 0
0, 0, 0, 450861, 0, 0
0, 0, 0, 467719, 0, 0
0, 0, 0, 468430, 0, 0
0, 0, 0, 449403, 0, 0
0, 0, 0, 447667, 0, 0
0, 0, 0, 449368, 0, 0
0, 0, 0, 464299, 0, 0
0, 0, 0, 465011, 0, 0
0, 0, 0, 447598, 0, 0
0, 0, 0, 452737, 0, 0
0, 0, 0, 447511, 0, 0
0, 0, 0, 451192, 0, 0
0, 0, 0, 466799, 0, 0
0, 0, 0, 444803, 0, 0
0, 0, 0, 446713, 0, 0
0, 0, 0, 448414, 0, 0
0, 0, 0, 452928, 0, 0
0, 0, 0, 470462, 0, 0
0, 0, 0, 449039, 0, 0
0, 0, 0, 448449, 0, 0
0, 0, 0, 445098, 0, 0
0, 0, 0, 446383, 0, 0
0, 0, 0, 463709, 0, 0
0, 0, 0, 444785, 0, 0
0, 0, 0, 447372, 0, 0
0, 0, 0, 448241, 0, 0
0, 0, 0, 553796, 0, 0
0, 0, 0, 461800, 0, 0
0, 0, 0, 456418, 0, 0
0, 0, 0, 457391, 0, 0
0, 0, 0, 460393, 0, 0
0, 0, 0, 447251, 0, 0
0, 0, 0, 451140, 0, 0
0, 0, 0, 472425, 0, 0
0, 0, 0, 444960, 0, 0
0, 0, 0, 452859, 0, 0
0, 0, 0, 450654, 0, 0
0, 0, 0, 453241, 0, 0
0, 0, 0, 461609, 0, 0
0, 0, 0, 469978, 0, 0
0, 0, 0, 443137, 0, 0
0, 0, 0, 467078, 0, 0
0, 0, 0, 456020, 0, 0
0, 0, 0, 455169, 0, 0
0, 0, 0, 445464, 0, 0
0, 0, 0, 444718, 0, 0
0, 0, 0, 469023, 0, 0
0, 0, 0, 471506, 0, 0
0, 0, 0, 496488, 0, 0
0, 0, 0, 466524, 0, 0
0, 0, 0, 446714, 0, 0
0, 0, 0, 448728, 0, 0
0, 0, 0, 445482, 0, 0
0, 0, 0, 446298, 0, 0
0, 0, 0, 445499, 0, 0
0, 0, 0, 467412, 0, 0
0, 0, 0, 475386, 0, 0
0, 0, 0, 451943, 0, 0
0, 0, 0, 448347, 0, 0
0, 0, 0, 454281, 0, 0
0, 0, 0, 452143, 0, 0
0, 0, 0, 466046, 0, 0
0, 0, 0, 470679, 0, 0
0, 0, 0, 445363, 0, 0
0, 0, 0, 449475, 0, 0
0, 0, 0, 449420, 0, 0
0, 0, 0, 443375, 0, 0
0, 0, 0, 457330, 0, 0
0, 0, 0, 458056, 0, 0
0, 0, 0, 446127, 0, 0
0, 0, 0, 447634, 0, 0
0, 0, 0, 444402, 0, 0
0, 0, 0, 445805, 0, 0
0, 0, 0, 491844, 0, 0
0, 0, 0, 467934, 0, 0
0, 0, 0, 456212, 0, 0
0, 0, 0, 461835, 0, 0
0, 0, 0, 452977, 0, 0
0, 0, 0, 452766, 0, 0
0, 0, 0, 465836, 0, 0
0, 0, 0, 454583, 0, 0
0, 0, 0, 456195, 0, 0
0, 0, 0, 449421, 0, 0
0, 0, 0, 453012, 0, 0
0, 0, 0, 459468, 0, 0
0, 0, 0, 466860, 0, 0
0, 0, 0, 449878, 0, 0
0, 0, 0, 455135, 0, 0
0, 0, 0, 448934, 0, 0
0, 0, 0, 449557, 0, 0
0, 0, 0, 465126, 0, 0
0, 0, 0, 460280, 0, 0
0, 0, 0, 447777, 0, 0
0, 0, 0, 447931, 0, 0
0, 0, 0, 455740, 0, 0
0, 0, 0, 459018, 0, 0
0, 0, 0, 474380, 0, 0
0, 0, 0, 458804, 0, 0
0, 0, 0, 454478, 0, 0
0, 0, 0, 453016, 0, 0
0, 0, 0, 452806, 0, 0
0, 0, 0, 465667, 0, 0
0, 0, 0, 461185, 0, 0
0, 0, 0, 442952, 0, 0
0, 0, 0, 455189, 0, 0
0, 0, 0, 455446, 0, 0
0, 0, 0, 464089, 0, 0
0, 0, 0, 467680, 0, 0
0, 0, 0, 451114, 0, 0
