Host ID, Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns),,
0,0,0,621525,0,0,,405186.1
0,0,0,441064,0,0,,
0,0,0,430603,0,0,,
0,0,0,400351,0,0,,
0,0,0,398066,0,0,,
0,0,0,396876,0,0,,
0,0,0,402977,0,0,,
0,0,0,414129,0,0,,
0,0,0,411637,0,0,,
0,0,0,392687,0,0,,
0,0,0,401704,0,0,,
0,0,0,398274,0,0,,
0,0,0,398594,0,0,,
0,0,0,408237,0,0,,
0,0,0,392150,0,0,,
0,0,0,389867,0,0,,
0,0,0,387739,0,0,,
0,0,0,395194,0,0,,
0,0,0,418534,0,0,,
0,0,0,401458,0,0,,
0,0,0,390945,0,0,,
0,0,0,396734,0,0,,
0,0,0,394502,0,0,,
0,0,0,397790,0,0,,
0,0,0,418267,0,0,,
0,0,0,447388,0,0,,
0,0,0,411562,0,0,,
0,0,0,400841,0,0,,
0,0,0,389911,0,0,,
0,0,0,388356,0,0,,
0,0,0,392895,0,0,,
0,0,0,386912,0,0,,
0,0,0,394368,0,0,,
0,0,0,416042,0,0,,
0,0,0,391049,0,0,,
0,0,0,387150,0,0,,
0,0,0,391064,0,0,,
0,0,0,387530,0,0,,
0,0,0,399777,0,0,,
0,0,0,405618,0,0,,
0,0,0,418437,0,0,,
0,0,0,396361,0,0,,
0,0,0,399546,0,0,,
0,0,0,400960,0,0,,
0,0,0,418936,0,0,,
0,0,0,390974,0,0,,
0,0,0,386920,0,0,,
0,0,0,390312,0,0,,
0,0,0,392195,0,0,,
0,0,0,401317,0,0,,
0,0,0,505334,0,0,,
0,0,0,451852,0,0,,
0,0,0,399256,0,0,,
0,0,0,387180,0,0,,
0,0,0,400208,0,0,,
0,0,0,402351,0,0,,
0,0,0,417931,0,0,,
0,0,0,401533,0,0,,
0,0,0,398780,0,0,,
0,0,0,390714,0,0,,
0,0,0,393950,0,0,,
0,0,0,408073,0,0,,
0,0,0,400372,0,0,,
0,0,0,398712,0,0,,
0,0,0,396480,0,0,,
0,0,0,400029,0,0,,
0,0,0,411086,0,0,,
0,0,0,421844,0,0,,
0,0,0,411351,0,0,,
0,0,0,399089,0,0,,
0,0,0,393754,0,0,,
0,0,0,399669,0,0,,
0,0,0,400688,0,0,,
0,0,0,398165,0,0,,
0,0,0,391839,0,0,,
0,0,0,390983,0,0,,
0,0,0,388824,0,0,,
0,0,0,404635,0,0,,
0,0,0,419091,0,0,,
0,0,0,389433,0,0,,
0,0,0,391494,0,0,,
0,0,0,400377,0,0,,
0,0,0,399259,0,0,,
0,0,0,412310,0,0,,
0,0,0,404371,0,0,,
0,0,0,393565,0,0,,
0,0,0,399116,0,0,,
0,0,0,393468,0,0,,
0,0,0,402247,0,0,,
0,0,0,404985,0,0,,
0,0,0,398972,0,0,,
0,0,0,385199,0,0,,
0,0,0,385489,0,0,,
0,0,0,399997,0,0,,
0,0,0,411953,0,0,,
0,0,0,389326,0,0,,
0,0,0,384563,0,0,,
0,0,0,392717,0,0,,
0,0,0,403423,0,0,,
0,0,0,413453,0,0,,
0,0,0,479679,0,0,,
0,0,0,396480,0,0,,
0,0,0,397811,0,0,,
0,0,0,396070,0,0,,
0,0,0,407713,0,0,,
0,0,0,413367,0,0,,
0,0,0,390844,0,0,,
0,0,0,391342,0,0,,
0,0,0,389236,0,0,,
0,0,0,417181,0,0,,
0,0,0,405961,0,0,,
0,0,0,387552,0,0,,
0,0,0,385967,0,0,,
0,0,0,391516,0,0,,
0,0,0,398212,0,0,,
0,0,0,407565,0,0,,
0,0,0,391031,0,0,,
0,0,0,388873,0,0,,
0,0,0,385257,0,0,,
0,0,0,388566,0,0,,
0,0,0,387554,0,0,,
0,0,0,394458,0,0,,
0,0,0,407560,0,0,,
0,0,0,393214,0,0,,
0,0,0,388191,0,0,,
0,0,0,392491,0,0,,
